Name,SOS#,Assn Type,# of Units,Telephone,Address1,Address2,City,State,Zip Code,County,Address1_clean,Address2_Normalized,Firm_Normalized,Phone_Normalized,Firm_ByPhone,Firm_ByAddress,Firm_Final,Name_Changed_Flag
Encore At Buffalo Homeowners Association,0514312014-8,REG,32,(702) 869-0937,Prime Community Management Llc,181 N. Arroyo Grande Blvd Ste 125,Las Vegas,NV,89074,Clark,PRIME COMMUNITY MANAGEMENT LLC,181 n arroyo grande blvd,prime community management,7028690937,prime community management,prime community management,prime community management,False
Equestrian Court Homeowners Association,28017-2001,REG,100,702) 953-2226,Bbcm Llc,5940 S Rainbow Blvd,Las Vegas,NV,89118,Clark,BBCM LLC,5940 s rainbow blvd,bbcm,7029532226,bbcm,bbcm,bbcm,False
Equestrian Estates Homeowners Association,1898-1991,REG,36,(702) 292-9091,"Regal Property Management, Llc",3945 W Reno Ave Ste E,Las Vegas,NV,89118,Clark,"REGAL PROPERTY MANAGEMENT, LLC",3945 w reno ave,regal property management,7022929091,regal property management,regal property management,regal property management,False
Escala @ Summerlin West Community Association,SAME AS MASTER,SAM,106,(702) 791-4600,Howard Hughes Corporation,10801 W Charleston Blvd 3Rd Fl,Las Vegas,NV,89135,Clark,HOWARD HUGHES CORPORATION,10801 w charleston blvd 3rd fl,howard hughe,7027914600,howard hughe,howard hughe,howard hughe,False
"Escondido Estates, Inc",19127-1996,REG,30,(702) 736-9450,Taylor Association Management,259 N Pecos Rd Ste 100,Henderson,NV,89074,Clark,TAYLOR ASSOCIATION MANAGEMENT,259 n peco rd,taylor association management,7027369450,taylor association management,taylor association management,taylor association management,False
Esperanza Homeowner'S Association,0355122013-1,SUB,95,(702) 754-6313,Sierra Community Management,6280 S Valley View Ste 310,Las Vegas,NV,89118,Clark,SIERRA COMMUNITY MANAGEMENT,6280 s valley view,sierra community management,7027546313,sierra community management,sierra community management,sierra community management,False
Esplanade At Damonte Ranch Homeowners' Association,0840992006-3,SUB,180,(775) 786-0212,"Omni Community Management, Inc.",18124 Wedge Parkway,Reno,NV,89511,Washoe,"OMNI COMMUNITY MANAGEMENT, INC.",18124 wedge parkway,omni community management,7757860212,omni community management,omni community management,omni community management,False
Esplanade At The Ranch Community Association,0067812018-0,MSTR,41,(775) 284-4788,Opus 1 Community Management,1662 Us Hwy 395 N #206,Minden,NV,89423,Washoe,OPUS 1 COMMUNITY MANAGEMENT,1662 us hwy 395 n 206,opu 1 community management,7752844788,opu 1 community management,opu 1 community management,opu 1 community management,False
Esplanade Community Association,0023002006-7,REG,382,(702) 736-9450,Taylor Association Management,259 N Pecos Rd Ste 100,Henderson,NV,89074,Clark,TAYLOR ASSOCIATION MANAGEMENT,259 n peco rd,taylor association management,7027369450,taylor association management,taylor association management,taylor association management,False
Esplanade Homeowners Association,0769452005-0,REG,57,(702) 655-7064,Las Vegas Valley Community Management,7571 Tule Springs Road,Las Vegas,NV,89131,Clark,LAS VEGAS VALLEY COMMUNITY MANAGEMENT,7571 tule spring rd,las vega valley community management,7026557064,las vega valley community management,las vega valley community management,las vega valley community management,False
Esplanade Townhouse Owner'S Association Inc,3402-1969,REG,40,(775) 782-6340,Community Association Management Company,333 N Curry St,Carson City,NV,89703,Carson City,COMMUNITY ASSOCIATION MANAGEMENT COMPANY,333 n curry st,community association management,7757826340,community association management,community association management,community association management,False
Essex At Huntington Homeowners Association,28606-2004,SUB,114,(702) 737-8580,"Firstservice Residential, Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark,"FIRSTSERVICE RESIDENTIAL, NEVADA, LLC",8290 arville st,firstservice residential nevada,7027378580,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,False
Estancia Homeowners Association,4255-2002,SUB,123,(702) 795-3344,Associa Nevada South,7670 W. Lake Mead Blvd. Suite 100,Las Vegas,NV,89128,Clark,ASSOCIA NEVADA SOUTH,7670 w lake mead blvd,associa,7027953344,associa,associa,associa,False
Estancia Reno Homeowners Association,0902642006-7,REG,202,(775) 852-2224,Equus Management Group,5480 Reno Corporate Dr Ste 100,Reno,NV,89511,Washoe,EQUUS MANAGEMENT GROUP,5480 reno corporate dr,equu management group,7758522224,equu management group,equu management group,equu management group,False
Estates At Aliante Homeowners Association,3798-2003,SUB,148,(949) 672-9069,Seabreeze Management Co,9205 W Russell Rd Suite 240,Las Vegas,NV,89148,Clark,SEABREEZE MANAGEMENT CO,9205 w russell rd,seabreeze management,9496729069,seabreeze management,seabreeze management,seabreeze management,False
Estates At Elkhorn Ridge Homeowners Association,0163272018-1,REG,95,(702) 531-3382,Camco,P O Box 400518,Las Vegas,NV,89140,Clark,CAMCO,p o box 400518,camco,7025313382,camco,camco,camco,False
Estates At Grand Canyon Homeowners Association,0324262018-5,REG,12,(702) 531-3382,Camco,Po Box 400518,Las Vegas,NV,89140,Clark,CAMCO,po box 400518,camco,7025313382,camco,camco,camco,False
"Estates At Green Valley Ranch Owners Association, The",9966-1997,SUB,88,(702) 869-0937,Prime Community Management,181 N Arroyo Grande Blvd Ste 125,Henderson,NV,89074,Clark,PRIME COMMUNITY MANAGEMENT,181 n arroyo grande blvd,prime community management,7028690937,prime community management,prime community management,prime community management,False
"Estates At Mt. Rose Homeowners Association, The",1754-2004,REG,158,(775) 626-7333,Associa Sierra North,10509 Professional Cir Ste 200,Reno,NV,89521,Washoe,ASSOCIA SIERRA NORTH,10509 professional cir,associa,7756267333,associa,associa,associa,False
"Estates At Mystic Mountain Community Association, The",0843452019-2,REG,83,(775) 852-2224,Equus Management Group,5480 Reno Corporate Dr Ste 100,Reno,NV,89511,Washoe,EQUUS MANAGEMENT GROUP,5480 reno corporate dr,equu management group,7758522224,equu management group,equu management group,equu management group,False
"Estates At Seven Hills Owners Association, The",12593-1997,SUB,256,(702) 933-7764,Real Property Management Group,Po Box 95606,Las Vegas,NV,89193,Clark,REAL PROPERTY MANAGEMENT GROUP,po box 95606,real property management group,7029337764,real propertie management group,real propertie management group,real property management group,False
"Estates At Southern Highlands Golf Club Community Association, The",14906-2000,SUB,375,(702) 361-6640,Olympia Management Services,11411 Southern Highlands Pkwy Ste 100,Las Vegas,NV,89141,Clark,OLYMPIA MANAGEMENT SERVICES,11411 southern highland pkwy,olympia management service,7023616640,olympia management service,olympia management service,olympia management service,False
Estates At Spanish Trail Association,833-1984,SUB,172,(702) 367-8747,Spanish Trail Master Assn,7495 Mission Hills Dr,Las Vegas,NV,89113,Clark,SPANISH TRAIL MASTER ASSN,7495 mission hill dr,spanish trail master assn,7023678747,spanish trail master assn,spanish trail master assn,spanish trail master assn,False
Estates At Stallion Mountain Homeowners' Association,0080792005-8,REG,500,(702) 869-0937,Prime Community Management Llc,181 N Arroyo Grande Blvd Ste 125,Henderson,NV,89074,Clark,PRIME COMMUNITY MANAGEMENT LLC,181 n arroyo grande blvd,prime community management,7028690937,prime community management,prime community management,prime community management,False
"Estates At Tomiyasu Ii Homeowners Association, The",0163302018-6,REG,7,(702) 515-2042,Thoroughbred Management Inc,2555 W Cheyenne Ave,N Las Vegas,NV,89032,Clark,THOROUGHBRED MANAGEMENT INC,2555 w cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,False
"Estates Community Association, The",0163472014-1,REG,39,(702) 942-2500,Community Management Group,2450 Box Canyon Dr,Las Vegas,NV,89128,Clark,COMMUNITY MANAGEMENT GROUP,2450 box canyon dr,community management group,7029422500,community management group,community management group,community management group,False
Estates Unit-Owners' Association,0053742006-1,SUB,180,(702) 564-6745,Capital Consultants Management Corporation,1 Via Vasari,Henderson,NV,89011,Clark,CAPITAL CONSULTANTS MANAGEMENT CORPORATION,1 via vasari,capital consultant management,7025646745,capital consultant management,capital consultant management,capital consultant management,False
Estates West At Spanish Trail Associates,6593-1988,SUB,72,(702) 367-8747,Spanish Trail Master Assn,7495 W Mission Hills Dr,Las Vegas,NV,89113,Clark,SPANISH TRAIL MASTER ASSN,7495 w mission hill dr,spanish trail master assn,7023678747,spanish trail master assn,spanish trail master assn,spanish trail master assn,False
Estrella Community Association,0241652015-9,SUB,167,(702) 362-6262,Terra West Management Services,6655 S Cimarron Rd Ste 200,Las Vegas,NV,89113,Clark,TERRA WEST MANAGEMENT SERVICES,6655 s cimarron rd,terra west management service,7023626262,terra west management service,terra west management service,terra west management service,False
Estrella Homeowners' Association,24033-2004,REG,63,(702) 873-3071,Eugene Burger Management Corporation,Po Box 751330,Las Vegas,NV,89136,Clark,EUGENE BURGER MANAGEMENT CORPORATION,po box 751330,eugene burger management,7028733071,eugene burger management,eugene burger management,eugene burger management,False
Estrella Ii Homeowners' Association,0469512005-5,REG,64,(702) 515-2042,"Thoroughbred Management, Inc.",2555 W Cheyenne Ave,N Las Vegas,NV,89031,Clark,"THOROUGHBRED MANAGEMENT, INC.",2555 w cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,False
Eureka Diamond Country Homeowners Association,18284-1997,SUB,189,(775) 626-7333,Associa Sierra North,10509 Professional Cir Ste 200,Reno,NV,89521,Washoe,ASSOCIA SIERRA NORTH,10509 professional cir,associa,7756267333,associa,associa,associa,False
Evans Creek Estates Homeowners Association,1808-1992,REG,82,(775) 351-9413,Controlled Resources Management Group,"83 Continental Dr., Suite B",Reno,NV,89509,Washoe,CONTROLLED RESOURCES MANAGEMENT GROUP,83 continental dr,controlled resource management group,7753519413,controlled resource management group,controlled resource management group,controlled resource management group,False
"Evans Ridge Estates Association, Inc.",9360-2000,REG,61,(775) 560-2202,"Abc Management, Llc",6015 S Virginia St E267,Reno,NV,89502,Washoe,"ABC MANAGEMENT, LLC",6015 s virginia st e267,abc management,7755602202,abc management,abc management,abc management,False
Evening Star Drive Homeowners Association,10169-1989,SUB,15,(702) 869-0937,Prime Community Management Llc,181 N Arroyo Grande Blvd Ste 125,Henderson,NV,89074,Clark,PRIME COMMUNITY MANAGEMENT LLC,181 n arroyo grande blvd,prime community management,7028690937,prime community management,prime community management,prime community management,False
Evergreen @ Summerlin North,SAME AS MASTER,SAM,161,(702) 838-5500,Summerlin Community Management,2120 Snow Trail,Las Vegas,NV,89134,Clark,SUMMERLIN COMMUNITY MANAGEMENT,2120 snow trail,summerlin community management,7028385500,summerlin community management,summerlin community management,summerlin community management,False
Evergreen At Skye Canyon Community Association,0241662015-0,SUB,165,(702) 531-3382,Camco,Po Box 400518,Las Vegas,NV,89140,Clark,CAMCO,po box 400518,camco,7025313382,camco,camco,camco,False
Evergreen Homeowners Association,4898-1986,REG,48,(702) 736-9450,"Taylor Association Management, Inc",259 N Pecos Rd Ste 100,Henderson,NV,89074,Clark,"TAYLOR ASSOCIATION MANAGEMENT, INC",259 n peco rd,taylor association management,7027369450,taylor association management,taylor association management,taylor association management,False
Evolve Homeowners' Association,0188762019-0,REG,74,(702) 531-3382,Camco,Po Box 400518,Las Vegas,NV,89140,Clark,CAMCO,po box 400518,camco,7025313382,camco,camco,camco,False
"Executive Estates Homeowners Association, Inc",8174-1991,REG,50,(702) 368-4637,Elite Hoa Management Inc,8425 W Flamingo Rd Ste 1,Las Vegas,NV,89147,Clark,ELITE HOA MANAGEMENT INC,8425 w flamingo rd,elite hoa management,7023684637,elite hoa management,elite hoa management,elite hoa management,False
Fairbrook Community Association,0385112006-7,REG,209,(702) 362-6262,Terra West Management Services,Po Box 80900,Las Vegas,NV,89180,Clark,TERRA WEST MANAGEMENT SERVICES,po box 80900,terra west management service,7023626262,terra west management service,terra west management service,terra west management service,False
Fairfield Homeowners Association,0348872013-1,REG,39,(702) 531-3382,Camco,Po Box 400518,Las Vegas,NV,89140,Clark,CAMCO,po box 400518,camco,7025313382,camco,camco,camco,False
Fairview Place Homeowners Association,2858-1974,SUB,30,(702) 737-0190,"Property Group, The",3286 Brentwood St,Las Vegas,NV,89121,Clark,"PROPERTY GROUP, THE",3286 brentwood st,property group the,7027370190,the property group,the property group,the property group,True
Fairway Hills Unit Owners Association,0069522007-4,SUB,128,(702) 795-3344,Associa Nevada South,7670 W. Lake Mead Blvd Ste 100,Las Vegas,NV,89128,Clark,ASSOCIA NEVADA SOUTH,7670 w lake mead blvd,associa,7027953344,associa,associa,associa,False
Fairway Pines Association,3010-1985,REG,42,(775) 832-6604,Incline Property Management,848 Tanager St Ste M,Incline Village,NV,89451,Washoe,INCLINE PROPERTY MANAGEMENT,848 tanager st,incline property management,7758326604,incline property management,incline property management,incline property management,False
Fairway Pointe Homeowners Association,10155-1998,SUB,206,(702) 362-6262,Terra West Management Services,Po Box 80900,Las Vegas,NV,89180,Clark,TERRA WEST MANAGEMENT SERVICES,po box 80900,terra west management service,7023626262,terra west management service,terra west management service,terra west management service,False
Fairway View Drive Homeowners Association Inc,9315-1990,SUB,28,(702) 755-9555,American Property Resources,3620 N Rancho Dr Ste 118,Las Vegas,NV,89130,Clark,AMERICAN PROPERTY RESOURCES,3620 n rancho dr,american property resource,7027559555,american property resource,american property resource,american property resource,False
Fairway Village At Kiley Ranch - Master Series Homeowners' Association,26250-2002,REG,272,(702) 737-8580,"Firstservice Residential, Nevada, Llc",8290 Arville Street,Las Vegas,NV,89139,Clark,"FIRSTSERVICE RESIDENTIAL, NEVADA, LLC",8290 arville st,firstservice residential nevada,7027378580,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,False
Fairway Villas Property Owners Association,15465-1993,REG,99,(702) 655-7064,Las Vegas Valley Community Management,7571 Tule Springs Road,Las Vegas,NV,89131,Clark,LAS VEGAS VALLEY COMMUNITY MANAGEMENT,7571 tule spring rd,las vega valley community management,7026557064,las vega valley community management,las vega valley community management,las vega valley community management,False
Fairways At Fieldcreek Ranch Homeowners Association Inc,26135-2000,REG,65,(775) 674-8000,Kenyon & Associates,645 Sierra Rose Dr Ste 104,Reno,NV,89511,Washoe,KENYON & ASSOCIATES,645 sierra rose dr,kenyon associate,7756748000,kenyon associate,kenyon associate,kenyon associate,False
"Fairways Homeowners Association, The",26071-1998,SUB,240,(775) 626-7333,Associa Sierra North,10509 Professional Cir Ste 200,Reno,NV,89521,Washoe,ASSOCIA SIERRA NORTH,10509 professional cir,associa,7756267333,associa,associa,associa,False
Faiss Drive Homeowners Association Inc,12536-1994,SUB,47,(702) 645-1210,Adept Management Services Inc,5550 Painted Mirage Rd Suite 320,Las Vegas,NV,89149,Clark,ADEPT MANAGEMENT SERVICES INC,5550 painted mirage rd,adept management service,7026451210,adept management service,adept management service,adept management service,False
Falcon Crest Owners' Association,34534-2001,SUB,95,(702) 345-2200,Colonial Property Management,736 W Pioneer Blvd Ste 200,Mesquite,NV,89027,Clark,COLONIAL PROPERTY MANAGEMENT,736 w pioneer blvd,colonial property management,7023452200,colonial property management,colonial property management,colonial property management,False
Falcon Glenn Owners Association,0640572006-1,SUB,106,(702) 345-2200,Colonial Property Management,736 W Pioneer Blvd Ste 200,Mesquite,NV,89027,Clark,COLONIAL PROPERTY MANAGEMENT,736 w pioneer blvd,colonial property management,7023452200,colonial property management,colonial property management,colonial property management,False
Falcon Pointe Association,31487-2003,REG,159,(702) 942-2500,Community Management Group,2450 Box Canyon Dr,Las Vegas,NV,89128,Clark,COMMUNITY MANAGEMENT GROUP,2450 box canyon dr,community management group,7029422500,community management group,community management group,community management group,False
Falcon Ridge At Lone Mountain Homeowners Association,0223292006-2,REG,134,(702) 515-2042,Thoroughbred Management Inc,2555 W Cheyenne Ave,N Las Vegas,NV,89032,Clark,THOROUGHBRED MANAGEMENT INC,2555 w cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,False
Falcon Ridge Townhomes Community Association,0190262019-4,REG,142,(775) 626-1800,Falcon Ridge By Desert Wind Lp,550 California Avenue,Reno,NV,89509,Washoe,FALCON RIDGE BY DESERT WIND LP,550 california ave,falcon ridge by desert wind lp,7756261800,summit ridge by desert wind,summit ridge by desert wind,summit ridge by desert wind,True
Falconcrest Homeowners Association,6321-1986,REG,82,(775) 852-2224,Equus Management Group,5480 Reno Corporate Dr Ste 100,Reno,NV,89511,Washoe,EQUUS MANAGEMENT GROUP,5480 reno corporate dr,equu management group,7758522224,equu management group,equu management group,equu management group,False
Fallbrook @ Summerlin North,SAME AS MASTER,SAM,156,(702) 838-5500,Summerlin Community Management,2120 Snow Trail,Las Vegas,NV,89134,Clark,SUMMERLIN COMMUNITY MANAGEMENT,2120 snow trail,summerlin community management,7028385500,summerlin community management,summerlin community management,summerlin community management,False
Fallen Leaf Homeowners' Association,0444002005-5,REG,245,(775) 473-6565,"Gaston Wilkerson Association Services, Inc.",1675 Robb Dr Ste 5,Reno,NV,89523,Washoe,"GASTON WILKERSON ASSOCIATION SERVICES, INC.",1675 robb dr,gaston wilkerson association service,7754736565,gaston wilkerson association service,gaston wilkerson association service,gaston wilkerson association service,False
Falls At Hidden Canyon Homeowners Association,9817-1994,REG,247,(702) 247-1115,Ideal Community Management,"5785 Centennial Center Blvd, #210",Las Vegas,NV,89149,Clark,IDEAL COMMUNITY MANAGEMENT,5785 centennial center blvd 210,ideal community management,7022471115,ideal community management,ideal community management,ideal community management,False
Fieldcreek Estates Homeowners Association,4217-1990,REG,411,(775) 828-3664,Eugene Burger Management Corporation,5011 Meadowood Mall Way Ste 200,Reno,NV,89509,Washoe,EUGENE BURGER MANAGEMENT CORPORATION,5011 meadowood mall way,eugene burger management,7758283664,eugene burger management,eugene burger management,eugene burger management,False
Fields At Aliante Homeowners Association,4741-2004,SUB,308,(702) 515-2042,Thoroughbred Management Inc,2555 W Cheyenne Ave,N Las Vegas,NV,89032,Clark,THOROUGHBRED MANAGEMENT INC,2555 w cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,False
Fiesta Community Association,29546-2001,REG,138,(702) 795-3344,Associa Nevada South,7670 W. Lake Mead Blvd Ste 100,Las Vegas,NV,89128,Clark,ASSOCIA NEVADA SOUTH,7670 w lake mead blvd,associa,7027953344,associa,associa,associa,False
Fiesta Del Norte Homeowners Association,7000-2003,REG,267,(702) 531-3382,Camco,Po Box 400518,Las Vegas,NV,89140,Clark,CAMCO,po box 400518,camco,7025313382,camco,camco,camco,False
Fiesta Maintenance Corporation,17281-1997,REG,264,(702) 851-7660,Nicklin Property Management,375 N Stephanie St Ste 911B,Henderson,NV,89014,Clark,NICKLIN PROPERTY MANAGEMENT,375 n stephanie st,nicklin community management service,7028517660,nicklin community management service,nicklin community management service,nicklin community management service,False
Fiesta Park Homeowners' Association,0672412005-0,REG,170,(702) 362-6262,Terra West Management Services,Po Box 80900,Las Vegas,NV,89130,Clark,TERRA WEST MANAGEMENT SERVICES,po box 80900,terra west management service,7023626262,terra west management service,terra west management service,terra west management service,False
Fifth And Farm Community Association,11839-2003,REG,344,(702) 737-8580,"Firstservice Residential, Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark,"FIRSTSERVICE RESIDENTIAL, NEVADA, LLC",8290 arville st,firstservice residential nevada,7027378580,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,False
Fifth Avenue Townhouse Owners Association,499-1979,REG,90,(702) 531-3382,Camco,704 W Nye Lane St 101,Carson City,NV,89703,Carson City,CAMCO,704 w nye lane st 101,camco,7025313382,camco,camco,camco,False
Finisterre Homeowners Association,0598642006-7,REG,95,(702) 362-6262,Terra West Management Services,6655 S Cimerron Rd Ste 200,Las Vegas,NV,89113,Clark,TERRA WEST MANAGEMENT SERVICES,6655 s cimerron rd,terra west management service,7023626262,terra west management service,terra west management service,terra west management service,False
Fiore Homeowners Association,29572-2004,REG,90,(702) 982-2587,Nevada'S Finest Properties Llc,3568 E Russell Road,Las Vegas,NV,89120,Clark,NEVADA'S FINEST PROPERTIES LLC,3568 e russell rd,nevada finest propertie,7029822587,nevada finest propertie,nevada finest propertie,nevada finest propertie,False
Firethorne I Homeowners Association,2746-1993,REG,86,(702) 362-0318,Performance Cam,5135 Camino Al Norte Ste 210,N Las Vegas,NV,89031,Clark,PERFORMANCE CAM,5135 camino al norte,performance cam,7023620318,performance cam,performance cam,performance cam,False
Firethorne Iii Homeowners Association,14408-1993,REG,86,(702) 856-3892,Terra West Management Services,Po Box 80900,Las Vegas,NV,89180,Clark,TERRA WEST MANAGEMENT SERVICES,po box 80900,terra west management service,7028563892,terra west management service,terra west management service,terra west management service,False
"First Greenbrae Cooperative Apartments, Inc.",972-1958,REG,56,(775) 284-2050,Equus Management Group,4888 Sparks Blvd #102,Sparks,NV,89436,Washoe,EQUUS MANAGEMENT GROUP,4888 spark blvd 102,equu management group,7752842050,equu management group,equu management group,equu management group,False
First Light @ Arlington Ranch Homeowners Association,8384-2004,SUB,378,(702) 795-3344,Associa Nevada South,7670 W. Lake Mead Blvd Ste 100,Las Vegas,NV,89128,Clark,ASSOCIA NEVADA SOUTH,7670 w lake mead blvd,associa,7027953344,associa,associa,associa,False
First Light At Old Vegas Ranch Homeowners,25609-2002,SUB,237,(702) 737-8580,"Firstservice Residential, Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark,"FIRSTSERVICE RESIDENTIAL, NEVADA, LLC",8290 arville st,firstservice residential nevada,7027378580,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,False
First Light Homeowners Association,9421-2001,SUB,414,(702) 851-7660,Nicklin Property Management,375 N Stephanie St Ste 911,Henderson,NV,89014,Clark,NICKLIN PROPERTY MANAGEMENT,375 n stephanie st,nicklin community management service,7028517660,nicklin community management service,nicklin community management service,nicklin community management service,False
Flagstone Manor Homeowners' Association,0496552007-4,REG,31,(702) 767-9993,Epic Association Management,8712 Spanish Ridge Ave,Las Vegas,NV,89148,Clark,EPIC ASSOCIATION MANAGEMENT,8712 spanish ridge ave,epic association management,7027679993,epic association management,epic association management,epic association management,False
Flagstone Ranch Homeowners' Association,0803002006-1,REG,19,(702) 942-2500,Community Management Group,2450 Box Canyon Dr,Las Vegas,NV,89128,Clark,COMMUNITY MANAGEMENT GROUP,2450 box canyon dr,community management group,7029422500,community management group,community management group,community management group,False
Flamingo Crest Owners Association Inc,3958-1976,REG,154,(702) 754-6313,Sierra Community Management,6280 S Valley View Blvd Ste 310,Las Vegas,NV,89118,Clark,SIERRA COMMUNITY MANAGEMENT,6280 s valley view blvd,sierra community management,7027546313,sierra community management,sierra community management,sierra community management,False
Flamingo Heights Homeowners' Association,4837-1984,REG,189,(702) 368-4637,Elite Hoa Management Inc,8425 W Flamingo Rd Ste 1,Las Vegas,NV,89147,Clark,ELITE HOA MANAGEMENT INC,8425 w flamingo rd,elite hoa management,7023684637,elite hoa management,elite hoa management,elite hoa management,False
"Flamingo Ridge Homeowners Association, Dba La Mirage Homeowners Association",149-1986,REG,163,(702) 942-2500,Community Management Group,2450 Box Canyon Dr,Las Vegas,NV,89128,Clark,COMMUNITY MANAGEMENT GROUP,2450 box canyon dr,community management group,7029422500,community management group,community management group,community management group,False
"Flamingo Trails No. 7 Landscape Maintenance Association, Inc.",29911-1998,REG,63,(702) 515-2042,Thoroughbred Management Inc,2555 W Cheyenne Ave,N Las Vegas,NV,89032,Clark,THOROUGHBRED MANAGEMENT INC,2555 w cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,False
Fleur De Lis Homeowners Association,19600-2003,SUB,270,(775) 853-9777,Terra West Management Services,10651 Professional Cir Ste A,Reno,NV,89521,Washoe,TERRA WEST MANAGEMENT SERVICES,10651 professional cir,terra west management service,7758539777,terra west management service,terra west management service,terra west management service,False
"Foothills At Macdonald Ranch Master Association,The",16079-1997,MSTR,2000,(702) 933-7764,Real Property Management Company,Po Box 95606,Las Vegas,NV,89193,Clark,REAL PROPERTY MANAGEMENT COMPANY,po box 95606,real property management,7029337764,real propertie management group,real propertie management group,real propertie management group,True
"Foothills At Reverence Community Association, The",0219152017-3,SUB,177,(702) 318-7070,Seabreeze Management,8960 W. Tropicana,Las Vegas,NV,89147,Clark,SEABREEZE MANAGEMENT,8960 w tropicana,seabreeze management,7023187070,seabreeze management,seabreeze management,seabreeze management,False
"Foothills At Southern Highlands Homeowners Association, The",12901-2000,SUB,268,(702) 531-3382,Camco,Po Box 400518,Las Vegas,NV,89140,Clark,CAMCO,po box 400518,camco,7025313382,camco,camco,camco,False
"Foothills At Wingfield Homeowners Association, The",5346-2004,MSTR,2045,(775) 354-1901,Terra West Management Services,P.O. Box 80900,Las Vegas,NV,89180,Washoe,TERRA WEST MANAGEMENT SERVICES,po box 80900,terra west management service,7753541901,terra west management service,terra west management service,terra west management service,False
Foothills Community Homeowners' Association,14213-1996,REG,317,(702) 736-9450,Taylor Association Management,259 North Pecos Road Ste 100,Henderson,NV,89074,Clark,TAYLOR ASSOCIATION MANAGEMENT,259 n peco rd,taylor association management,7027369450,taylor association management,taylor association management,taylor association management,False
Foothills Ranch East Homeowners Association,0641772011-3,REG,14,(702) 396-6042,Desert Hoa Management Inc,Po Box 750639,Las Vegas,NV,89128,Clark,DESERT HOA MANAGEMENT INC,po box 750639,desert hoa management,7023966042,desert hoa management,desert hoa management,desert hoa management,False
Foothills Ranch Homeowners Association,14944-1995,REG,133,(702) 851-7660,Nicklin Community Management Services,375 N Stephanie St Ste 911,Henderson,NV,89014,Clark,NICKLIN COMMUNITY MANAGEMENT SERVICES,375 n stephanie st,nicklin community management service,7028517660,nicklin community management service,nicklin community management service,nicklin community management service,False
Foothills Ranch South Homeowners Association,4721-1998,REG,95,(702) 458-2580,Colonial Property Mgmt,8595 S. Eastern Ave,Las Vegas,NV,89123,Clark,COLONIAL PROPERTY MGMT,8595 s eastern ave,colonial property mgmt,7024582580,colonial property management,colonial property management,colonial property management,True
Ford Ranch Homeowners Association,0514712017-9,REG,18,702-577-3500,On The Ball Llc,1180 N Town Center Dr. #100,Las Vegas,NV,89144,Clark,ON THE BALL LLC,1180 n town center dr 100,on the ball,7025773500,on the ball,on the ball,on the ball,False
Forest Hills Homeowners Association Inc.,1397-1979,REG,102,(702) 737-0190,The Property Group,3286 Brentwood St,Las Vegas,NV,89121,Clark,THE PROPERTY GROUP,3286 brentwood st,the property group,7027370190,the property group,the property group,the property group,False
Fort Apache Ranch Homeowners Association,0609272013-5,REG,390,(702) 515-2042,Thoroughbred Management Inc,2555 W Cheyenne Ave,N Las Vegas,NV,89032,Clark,THOROUGHBRED MANAGEMENT INC,2555 w cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,False
Fort Apache Square Homeowners Association,0493362005-6,REG,195,(702) 754-6313,Sierra Community Management,"6280 S. Valley View Blvd, Suite 310",Las Vegas,NV,89118,Clark,SIERRA COMMUNITY MANAGEMENT,6280 s valley view blvd,sierra community management,7027546313,sierra community management,sierra community management,sierra community management,False
Fountain Hills Owners Sub-Association District Inc,4395-1995,SUB,129,(702) 869-0937,Prime Community Management,181 N Arroyo Grande Blvd Ste 125,Henderson,NV,89074,Clark,PRIME COMMUNITY MANAGEMENT,181 n arroyo grande blvd,prime community management,7028690937,prime community management,prime community management,prime community management,False
"Fountains Property Owners Association, The",2412-1988,REG,198,(702) 933-7764,Real Properties Management Group,3077 E. Warm Springs Rd,Las Vegas,NV,89120,Clark,REAL PROPERTIES MANAGEMENT GROUP,3077 e warm spring rd,real propertie management group,7029337764,real propertie management group,real propertie management group,real propertie management group,False
Four Winds Owners' Association,17106-2000,REG,169,(702) 365-6720,First Columbia Community Management Inc,Po Box 28759,Las Vegas,NV,89126,Clark,FIRST COLUMBIA COMMUNITY MANAGEMENT INC,po box 28759,first columbia community management,7023656720,first columbia community management,first columbia community management,first columbia community management,False
Fox Canyon Estates Association,2674-1991,REG,9,(702) 365-6720,First Columbia Community Management Inc,Po Box 28759,Las Vegas,NV,89126,Clark,FIRST COLUMBIA COMMUNITY MANAGEMENT INC,po box 28759,first columbia community management,7023656720,first columbia community management,first columbia community management,first columbia community management,False
