Name,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2015_exists,2016_exists,2017_exists,2018_exists,2019_exists,2020_exists,2021_exists,2022_exists,2023_exists,2024_exists,2025_exists,Number of changes,Frequent changer
Canyon Creek North Homeowners Association,elite hoa management,elite hoa management,elite hoa management,elite hoa management,ideal community management,ideal community management,nevada community management,nevada community management,nevada community management,nevada community management,nevada community management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Canyon Creek Villas Homeowners Association,the management trust,the management trust,the management trust,the management trust,the management trust,the management trust,the management trust,p g association management,p g association management,p g association management,nevada community management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Canyon Crest Association,community management group,community management group,community management group,community management group,community management group,community management group,community management group,community management group,eugene burger management,associa,associa,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Canyon Crest Community Association,community management group,community management group,,kallfelz team association management,kallfelz team association management,hoa management,hoa management,kallfelz team dba hoa management,kallfelz team dba hoa management,kallfelz team dba hoa management,kallfelz team dba hoa management,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,True
Canyon Crest Masters Association,colonial property management,colonial property management,colonial property management,colonial property management,colonial property management,colonial property management,colonial property management,colonial property management,colonial property management,colonial property management,colonial community management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Canyon Crossing Homeowners Association,equu management group,equu management group,equu management group,equu management group,equu management group,equu management group,equu management group,equu management group,equu management group,equu management group,equu management group,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,False
Canyon Fairways Community Association,real propertie management group,real propertie management group,,real propertie management group,real propertie management group,real propertie management group,real propertie management group,real propertie management group,real propertie management group,real propertie management group,real propertie management group,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Canyon Falls Estates Homeowners' Association,las vega valley community management,las vega valley community management,las vega valley community management,las vega valley community management,community management group,community management group,community management group,community management group,community management group,community management group,community management group,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Canyon Gate Master Association,firstservice residential nevada,firstservice residential nevada,prime community management,prime community management,prime community management,prime community management,prime community management,prime community management,olympia management service,olympia management service,olympia management service,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
"Canyon Hills Landscaping Maintenance Association, Inc.",nevada premier propertie,firstservice residential nevada,firstservice residential nevada,equu management group,equu management group,equu management group,equu management group,equu management group,equu management group,equu management group,equu management group,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Canyon Mist Estates Homeowners Association,community management group,community management group,community management group,community management group,community management group,community management group,community management group,camco,camco,camco,camco,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Canyon Oaks Owners Association,real property management group,real property management group,,real property management group,real property management group,real property management group,real property management group,real propertie management group,real propertie management group,real propertie management group,real propertie management group,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,True
Canyon Pines Homeowners Association,incline property management,incline property management,associa,associa,associa,firstservice residential nevada,hoamco,hoamco,hoamco,hoamco,hoamco,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,True
Canyon Ranch Estates Homeowners Association,community management group,community management group,community management group,community management group,community management group,community management group,community management group,community management group,community management group,community management group,community management group,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,False
Canyon Ridge Homeowners Association,level property management,level property management,,level property management,level property management,level property management,level property management,level property management,community management group,community management group,community management group,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,True
Canyon Springs Homeowners Association,las vega valley community management,las vega valley community management,las vega valley community management,las vega valley community management,las vega valley community management,las vega valley community management,nevada community management,nevada community management,nevada community management,nevada community management,nevada community management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Canyon Terrace Community Association,mesa management,mesa management,,prime community management,prime community management,prime community management,first columbia community management,first columbia community management,first columbia community management,first columbia community management,first columbia community management,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,True
Canyon Trails Community Association,,,,,,,,,,,sage management,,,,,,,,,,,1.0,1,False
Canyon Trails Homeowners' Association,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,False
Canyon Trails Ii Homeowners' Association,regal property management,regal property management,regal property management,regal property management,regal property management,regal property management,regal property management,regal property management,regal property management,regal property management,regal property management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,False
Canyon View Homeowners Association,camco,camco,camco,camco,camco,camco,soleil association management,terra west management service,las vega community management group,las vega community management group,las vega community management group,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,True
Canyon Vista Estates Homeowners Association,,,,,,,,adept management service,adept management service,adept management service,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Canyon Willow Owners Association,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,prime community management,prime community management,prime community management,prime community management,prime community management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Canyon Willow Pecos Owners' Association,mp association management,community management group,community management group,community management group,integrity based management,integrity based management,prime community management,prime community management,prime community management,prime community management,varalino community management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,True
Canyon Willow Trop Owners' Association,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,False
Canyon Willow West Owners' Association,epic association management,epic association management,epic association management,epic association management,epic association management,the management trust,the management trust,the management trust,elite hoa management,elite hoa management,elite hoa management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Canyon/Terrace Homeowners' Association,nevada association management service,nevada association management service,nevada association management service,nevada association management service,nevada association management service,cdm management,cdm management,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,2,True
Canyons Community Association,,,camco,camco,camco,camco,assured real estate,assured real estate,assured real estate,assured real estate,assured real estate,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Canyons Edge Homes Owners' Association,las vega valley community management,las vega valley community management,las vega valley community management,camco,las vega valley community management,nevada community management,,nevada community management,nevada community management,nevada community management,nevada community management,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,5,True
Canyons Estates Homeowners' Association,the management trust,the management trust,camco,camco,camco,camco,camco,associa,associa,associa,associa,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
"Canyons Homeowners Association, The",,,camco,camco,camco,camco,camco,nevada community management,nevada community management,nevada community management,nevada community management,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Canyons Mesquite Vistas Homeowners Association,mesquite property management,colonial property management,,colonial property management,,,,,,,,1.0,1.0,,1.0,,,,,,,,4,True
"Canyons Mesquite Vistas Homeowners Association, The",,,,,colonial property management,colonial property management,colonial property management,colonial property management,colonial property management,colonial property management,colonial community management,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Caparola At Southern Highlands Homeowners Association,mesa management,mesa management,,sierra community management,sierra community management,sierra community management,sierra community management,sierra community management,olympia management service,olympia management service,olympia management service,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,True
Capella Homeowners Association,covenant management,prime community management,prime community management,prime community management,real property management group,real property management group,real property management group,real propertie management group,real propertie management group,taylor association management,taylor association management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,True
Capella Pointe Homeowners Association,,,,,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Capistrano At Seven Hills Homeowners Association,firstservice residential nevada,firstservice residential nevada,,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Capistrano Homeowners Association,level property management,level property management,level property management,level property management,level property management,level property management,level property management,level property management,level property management,level property management,level property management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,False
Capistrano In The Paseos Homeowners' Association,camco,camco,,camco,camco,camco,camco,camco,camco,colonial property management,colonial community management,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,True
Capistrano Village Homeowners Association,griswold real estate management,griswold real estate management,griswold real estate management,griswold real estate management,griswold real estate management,griswold real estate management,griswold real estate management,griswold real estate management,griswold real estate management,griswold real estate management,griswold real estate management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,False
Capital Village Homeowners Association,valley realty and management,valley realty and management,valley realty and management,camco,camco,camco,camco,camco,anchor management and consulting,anchor management and consulting,anchor management and consulting,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Capri @ Summerlin West Community Association,howard hughe,howard hughe,,howard hughe,howard hughe,howard hughe,howard hughe,howard hughe,howard hughe,howard hughe,howard hughe,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Capri Unit 2 Homeowners Association,the management trust,the management trust,the management trust,the management trust,the management trust,the management trust,the management trust,the management trust,the management trust,the management trust,the management trust,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,False
Capriana Homeowners Association,,,,,,,,,,,triton hoa service,,,,,,,,,,1.0,1.0,1,False
Capstone Homeowners Association,,,,,,,,,,,triton hoa service,,,,,,,,,,,1.0,1,False
Cara Vella @ Summerlin West Community Association,howard hughe,howard hughe,,howard hughe,howard hughe,howard hughe,howard hughe,howard hughe,howard hughe,howard hughe,howard hughe,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Carey Avenue Homeowners Association,associa,associa,associa,associa,associa,associa,,associa,associa,associa,associa,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,2,True
Carina & Polaris Pointe Homeowners Association,,,,,thoroughbred management,thoroughbred management,thoroughbred management,kallfelz team dba hoa management,kallfelz team dba hoa management,las vega community management group,las vega community management group,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,True
Carlisle Homeowners Association,camco,camco,,level property management,level property management,level property management,level property management,level property management,level property management,level property management,level property management,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Carlisle Maintenance Association,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,False
Carmel Canyon Homeowners' Association,ideal community management,ideal community management,ideal community management,ideal community management,camco,camco,camco,camco,camco,camco,camco,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Carmel Cliffs Community Association,,,,,,,seabreeze management,seabreeze management,seabreeze management,seabreeze management,seabreeze management,,,,,,,1.0,1.0,1.0,1.0,1.0,1,False
"Carmel Cove Homeowners Association, Inc.",pinnacle community association management,pinnacle community association management,pinnacle community association management,pinnacle community association management,pinnacle community association management,pinnacle community association management,pinnacle community association management,pinnacle community association management,pinnacle community association management,pinnacle community association management,pinnacle community association management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,False
Carmel Ridge Association,associated community management,path community management,nevada finest propertie,nevada finest propertie,nevada finest propertie,nevada finest propertie,nevada finest propertie,nevada finest propertie,nevada finest propertie,nevada finest propertie,nevada finest propertie,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
"Carmels At Spanish Trail Association, The",,spanish trail master assn,,spanish trail master assn,spanish trail master assn,spanish trail master assn,spanish trail master assn,spanish trail master assn,spanish trail master assn,spanish trail master assn,spanish trail master assn,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,True
Carnegie Heights Homeowners Association,taylor association management,taylor association management,taylor association management,taylor association management,taylor association management,taylor association management,on the ball,on the ball,las vega community management group,las vega community management group,las vega community management group,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Carnegie Hills Homeowners Association,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,False
Carriage Club @ Green Valley Ranch,green valley ranch community association,green valley ranch community association,,green valley ranch community association,green valley ranch community association,green valley ranch community association,green valley ranch community association,terra west management service,terra west management service,terra west management service,terra west management service,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,True
Carriage Hills Homeowners Association,taylor association management,taylor association management,taylor association management,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Carriage House Homeowners Association,eugene burger management,eugene burger management,eugene burger management,eugene burger management,eugene burger management,eugene burger management,eugene burger management,kenyon associate,kenyon associate,kenyon associate,western nevada management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Carriage Lane Homeowners Association,terra west management service,terra west management service,,terra west management service,terra west management service,desert living,desert living,desert living,desert living,desert living,desert living,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,True
Carriage Park Community Association,triton hoa service,triton hoa service,triton hoa service,triton hoa service,triton hoa service,triton hoa service,triton hoa service,triton hoa service,triton hoa service,triton hoa service,triton hoa service,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,False
Carriage Park Villas Homeowners' Association,hl realty management,firstservice residential nevada,firstservice residential nevada,cornerstone community association management,cornerstone community association management,community management group,community management group,community management group,heritage management group,nevada community management,nevada community management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,True
"Carson Air Group, Inc.",,,,,,,camco,incline property management,incline property management,incline property management,incline property management,,,,,,,1.0,1.0,1.0,1.0,1.0,2,True
Carson Ranch East Homeowners Association,ideal community management,ideal community management,ideal community management,ideal community management,ideal community management,ideal community management,nevada community management,sierra community management,sierra community management,sierra community management,sierra community management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Carson Ranch West Homeowners Association,desert hoa management,desert hoa management,desert hoa management,desert hoa management,sierra community management,sierra community management,sierra community management,sierra community management,sierra community management,sierra community management,sierra community management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Carson River Estates Limited Purpose Association,lennar reno,lennar reno,lennar reno,lennar reno,controlled resource management group,controlled resource management group,controlled resource management group,controlled resource management group,controlled resource management group,controlled resource management group,the management trust,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
"Carson Villas Homeowner Association, Inc",valley realty and management,valley realty and management,valley realty and management,valley realty and management,camco,camco,camco,camco,the management trust,the management trust,the management trust,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Casa Bella Community Association,,,,,,,apogee management,apogee management,apogee management,apogee management,camco,,,,,,,1.0,1.0,1.0,1.0,1.0,2,True
Casa Grande Homeowners Association,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,False
Casa Mesa Villas Homeowners Association,colonial property management,colonial property management,colonial property management,colonial property management,colonial property management,colonial property management,colonial property management,colonial property management,colonial property management,colonial property management,camco,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Casa Palermo 20N Homeowners Association,firstservice residential nevada,firstservice residential nevada,,the management trust,the management trust,the management trust,the management trust,the management trust,the management trust,the management trust,desert living,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,True
Casa Reali Homeowners Association,nevada community management,mp association management,mp association management,mp association management,mp association management,mp association management,nevada community management,nevada community management,the management trust,the management trust,the management trust,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,True
Casa Rosa Homeowners Association,nevada community management,nevada community management,,nevada community management,nevada community management,nevada community management,heritage management group,heritage management group,heritage management group,nevada community management,nevada community management,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,True
Casa/Villa Palermo Homeowners Association,associa,associa,,associa,associa,associa,associa,associa,associa,associa,associa,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Casablanca Homeowners Association,nevada community management,nevada community management,nevada community management,nevada community management,sierra community management,sierra community management,sierra community management,sierra community management,sierra community management,sierra community management,terra west management service,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Casazza Ranch Estates Homeowners Association Unit 6,,,,opu 1 community management,opu 1 community management,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Cascade At Mountains Edge Homeowners Association,real manage,real manage,,epic association management,epic association management,epic association management,epic association management,epic association management,epic association management,epic association management,epic association management,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Cascade Bay Homeowners Association,nevada finest propertie,nevada finest propertie,nevada finest propertie,nevada finest propertie,nevada finest propertie,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
"Cascade Homeowners Association, Inc.",camco,camco,level property management,level property management,level property management,level property management,level property management,level property management,epic association management,epic association management,epic association management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Cascade Manor Homeowners Association,,,,,,,apogee management,apogee management,apogee management,adept management service,the association management group,,,,,,,1.0,1.0,1.0,1.0,1.0,3,True
Cascades Homeowners Association,,,,,,,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,,,,,,,1.0,1.0,1.0,1.0,1.0,1,False
"Cascades Owners Association, Inc., The",colonial property management,colonial property management,,colonial property management,colonial property management,colonial property management,colonial property management,colonial property management,colonial property management,colonial property management,colonial community management,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,True
Cascina Ranch Community Association,,,,,,,toll south lv,associa,associa,level property management,level property management,,,,,,,1.0,1.0,1.0,1.0,1.0,3,True
Casitas De La Sierra Homeowners Association,opu 1 community management llc,terra west management service,terra west management service,kenyon associate,kenyon associate,kenyon associate,western nevada management,western nevada management,the management trust,reno property management,reno property management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,True
Casitas On The Green Homeowners' Association,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,sage management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Casoleil Homeowners' Association,gaston wilkerson association service,gaston wilkerson association service,gaston wilkerson association service,gaston wilkerson association service,gaston wilkerson association service,gaston wilkerson association service,associa,associa,associa,associa,associa,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Cassia Community Association,,,,,,,seabreeze management,seabreeze management,seabreeze management,seabreeze management,seabreeze management,,,,,,,1.0,1.0,1.0,1.0,1.0,1,False
Castellana Homeowners Association,,,,,,,,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,,,,,,,,1.0,1.0,1.0,1.0,1,False
Castellina Homeowners Association,associa,associa,associa,associa,associa,associa,associa,associa,associa,associa,associa,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,False
Castellina Ii @ Southern Highlands,olympia management service,olympia management service,,olympia management service,olympia management service,olympia management service,olympia management service,olympia management service,olympia management service,olympia management service,olympia management service,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Castellina Iii Homeowners Association,community management group,community management group,community management group,community management group,community management group,community management group,community management group,community management group,community management group,community management group,community management group,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,False
Castle Bay Shore Community Association Inc,ideal community management,ideal community management,,ideal community management,ideal community management,ideal community management,shelter management group,performance cam,performance cam,performance cam,performance cam,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,True
Castle Rock Community Association,,,,,,,,,associa,associa,associa,,,,,,,,,1.0,1.0,1.0,1,False
Castle Rock Estates Association,the management trust,the management trust,,the management trust,the management trust,the management trust,the management trust,the management trust,the management trust,the management trust,the management trust,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Castle Rock Homeowners Association,associa,associa,associa,associa,associa,associa,associa,associa,associa,associa,associa,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,False
Castle Rock Homeowners Associations Of Round Hill,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,nevada community management,nevada community management,nevada community management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Castle Vista Estates Homeowners Association,adept management service,adept management service,adept management service,adept management service,adept management service,adept management service,adept management service,varalino community management,varalino community management,westward360,david fish,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,True
Castlegate Homeowners Association,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,False
Castleridge Estates At Trail Canyon Owners Association,firstservice residential nevada,firstservice residential nevada,,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Castlewood Homeowners Association,camco,camco,,camco,camco,camco,camco,camco,camco,camco,camco,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Catalina Andorra Homeowners Association,camco,pinnacle community association management,,pinnacle community association management,pinnacle community association management,pinnacle community association management,level property management,level property management,level property management,level property management,level property management,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,True
Catalina Cove Homeowners Association,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,False
Catalina Estates Property Owners Association,eugene burger management,eugene burger management,eugene burger management,eugene burger management,eugene burger management,eugene burger management,eugene burger management,eugene burger management,eugene burger management,associa,associa,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Cattera,,,,,,,capital consultant management,capital consultant management,capital consultant management,capital consultant management,capital consultant management,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Caughlin Creek Homeowners Association,gaston wilkerson association service,gaston wilkerson association service,,caughlin,caughlin,caughlin,caughlin ranch hoa,,caughlin ranch hoa,hoamco,hoamco,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,True
Cave Rock Villas Homeowners Association,trinity associate,trinity associate,integrity based management,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,reno property management,reno property management,reno property management,reno property management,reno property management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,True
Cedar Creek Homeowners Association,community association management,community association management,community association management,community association management,incline property management,incline property management,incline property management,incline property management,incline property management,incline property management,incline property management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Cedar Park Homeowner Association,integrity based management,integrity based management,integrity based management,integrity based management,integrity based management,integrity based management,integrity based management,integrity based management,integrity based management,integrity based management,integrity based management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,False
Cedar Point Community Association. Inc.,performance cam,performance cam,,performance cam,performance cam,performance cam,performance cam,performance cam,performance cam,performance cam,performance cam,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Cedar Springs Homeowners Association,adept management service,adept management service,adept management service,adept management service,adept management service,adept management service,adept management service,adept management service,adept management service,adept management service,the association management group,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Cedarcrest Homeowners Association,,,,,,,,,equu management group,equu management group,incline property management,,,,,,,,,1.0,1.0,1.0,2,True
"Cedarcrest, A Townhouse Association",incline property management,incline property management,incline property management,incline property management,incline property management,incline property management,incline property management,incline property management,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1,False
"Cedars Association No 2, The",incline property management,incline property management,incline property management,incline property management,incline property management,incline property management,incline property management,incline property management,incline property management,incline property management,incline property management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,False
"Cedars Association, The",incline property management,incline property management,incline property management,incline property management,incline property management,incline property management,incline property management,incline property management,incline property management,incline property management,incline property management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,False
Celebrity Homeowners Association,camco,camco,camco,camco,camco,camco,taylor association management,taylor association management,taylor association management,taylor association management,taylor association management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Centennial Alpine Ridge Homeowners Association,,,,,camco,camco,camco,camco,camco,camco,camco,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Centennial And Lamb Association,associated community management,path community management,path community management,nevada finest propertie,nevada finest propertie,nevada finest propertie,nevada finest propertie,nevada finest propertie,nevada finest propertie,nevada finest propertie,nevada finest propertie,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
