Name,SOS#,Assn Type,# of Units,Telephone,Address1,Address2,City,State,Zip Code,County,Firm_Normalized,Firm_Final,Firm_ByPhone,Firm_ByAddress,Address2_Normalized,Name_Changed_Flag
BRIGHTON COMMUNITY ASSOCIATION,25794192022-8,SUB,133,(702) 473-9779,C/O CUSMAN & WAKEFIELD,10493 JELLISON AVE,LAS VEGAS,NV,89166,Clark,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,375 n stephanie st,False
BRIGHTON HOMEOWNERS ASSOCIATION,27091-2004,REG,91,(702) 982-2587,C/O NEVADA'S FINEST PROPERTIES LLC,3568 E RUSSELL ROAD,LAS VEGAS,NV,89120,Clark,capital consultant management,capital consultant management,capital consultant management,capital consultant management,1170 e sunset rd,False
BRIGHTON MAINTENANCE CORPORATION,30275-2004,REG,141,(702) 458-2580,C/O COLONIAL PROPERTY MANAGEMENT,8595 S EASTERN AVE,LAS VEGAS,NV,89123,Clark,camco,camco,camco,camco,333 n curry st,False
BRIGHTON MANOR HOMEOWNERS ASSOCIATION,0277962006-7,REG,92,(775) 852-2224,C/O EQUUS MANAGEMENT GROUP,"5480 RENO CORPORATE DRIVE, SUITE 100",RENO,NV,89511,Washoe,nevada finest propertie,nevada finest propertie,nevada finest propertie,nevada finest propertie,3568 e russell rd,False
BRIGHTON RIDGE HOMEOWNERS ASSOCIATION,0628192005-8,REG,57,(702) 795-3344,C/O ASSOCIA NEVADA SOUTH,7670 W. LAKE MEAD BLVD STE 100,LAS VEGAS,NV,89128,Clark,terra west management service,terra west management service,terra west management service,terra west management service,450 hillside dr,False
BRIGHTON VILLAGE II COMMUNITY ASSOCIATION,0679322006-7,REG,63,(702) 655-7064,C/O NEVADA COMMUNITY MANAGEMENT,9500 WEST FLAMINGO RD STE 204,LAS VEGAS,NV,89147,Clark,colonial property management,colonial property management,colonial property management,colonial property management,736 w pioneer blvd,False
BRISTLE FALLS HOMEOWNERS' ASSOCIATION,0465662014-9,REG,60,(702) 655-7064,C/O NEVADA COMMUNITY MANAGEMENT,9500 W FLAMINGO RD STE 204,LAS VEGAS,NV,89147,Clark,nevada community management,nevada community management,nevada community management,nevada community management,9500 w flamingo rd,False
BRISTLE VALE HOMEOWNERS ASSOCIATION,1429302019-6,SUB,243,(702) 942-2500,C/O COMMUNITY MANAGEMENT GROUP,2450 BOX CANYON DR,LAS VEGAS,NV,89128,Clark,prime community management,prime community management,prime community management,prime community management,3556 e russell rd,False
BRISTLECONE RANCH HOMEOWNERS ASSOCIATION,0331912016-1,REG,60,(702) 767-9993,C/O EPIC ASSOCIATION MANAGEMENT,8712 SPANISH RIDGE AVE,LAS VEGAS,NV,89148,Clark,terra west management service,terra west management service,terra west management service,terra west management service,6655 s cimarron rd,False
BRISTOL HEIGHTS HOMEOWNERS' ASSOCIATION,0573712006-7,REG,35,(702) 362-0318,"C/O PERFORMANCE CAM, LLC",5135 CAMINO AL NORTE STE 100,N LAS VEGAS,NV,89031,Clark,first columbia community management,first columbia community management,first columbia community management,first columbia community management,3100 w sahara ave,False
"BROMLEY PLACE OWNERS ASSOCIATION, THE",12538-1998,REG,10,(702) 417-3554,,2001 SHENLEY CT,LAS VEGAS,NV,89117,Clark,,,,,,
BROOKDALE PARK ASSOCIATION,2889-1975,REG,19,(775) 827-4735,,140 MOORE LN,RENO,NV,89509,Washoe,,,,,,
BROOKFIELD @ SUMMERLIN NORTH,SAME AS MASTER,SAM,170,(702) 838-5500,C/O SUMMERLIN COMMUNITY MANAGEMENT,2120 SNOW TRAIL,LAS VEGAS,NV,89134,Clark,nevada community management,nevada community management,nevada community management,nevada community management,9500 w flamingo rd 204,False
BROOKFIELD COMMUNITY ASSOCIATION,0549802017-1,REG,222,(702) 515-2042,C/O THOROUGHBRED MANAGEMENT,2555 W. CHEYENNE AVE.,NORTH LAS VEGAS,NV,89032,Clark,taylor association management,taylor association management,taylor association management,taylor association management,259 n peco rd,False
BROOKHAVEN HOMEOWNERS ASSOCIATION,0568612006-8,REG,85,(702) 990-9707,C/O KALLFELZ TEAM DBA HOA MANAGEMENT,2701 N TENAYA WAY STE 130,LAS VEGAS,NV,89128,Clark,first columbia community management,first columbia community management,first columbia community management,first columbia community management,3100 w sahara ave,False
BROOKSHIRE HOMEOWNERS ASSOCIATION,0247972015-3,REG,183,(702) 362-6262,C/O TERRA WEST MANAGEMENT SERVICES,6655 S CIMARRON RD #200,LAS VEGAS,NV,89113,Clark,terra west management service,terra west management service,terra west management service,terra west management service,450 hillside dr,False
BROOKSIDE OF INCLINE,0916302005-2,REG,10,(619) 876-3585,,P O BOX 1,NOKOMIS,FL,34274-0001,,,,,,,
"BROWNSTONES AT CENTENNIAL SPRINGS COMMUNITY ASSOCIATION, THE",0161102017-9,REG,21,(702) 222-2391,C/O NEVADA COMMUNITY ASSOCIATION,9500 WEST FLAMINGO RD STE 204,LAS VEGAS,NV,89014,Clark,nevada community management,nevada community management,nevada community management,nevada community management,9500 w flamingo rd,False
BUCKINGHAM AT HUNTINGTON HOMEOWNERS ASSOCIATION,28584-2004,SUB,173,(702) 483-2299,C/O SEABREEZE MANAGEMENT COMPANY,8329 W SUNSET RD STE 270,LAS VEGAS,NV,89113,Clark,taylor association management,taylor association management,taylor association management,taylor association management,259 n peco rd,False
BUENA VISTA HOMEOWNER ASSOCIATION,10349-1993,SUB,208,(702) 222-2391,C/O NEVADA COMMUNITY MANAGEMENT,"9500 WEST FLAMINGO ROAD, SUITE 204",LAS VEGAS,NV,89147,Clark,level property management,level property management,level property management,level property management,8966 spanish ridge ave,False
BUFFALO MESA COMMUNITY ASSOCIATION,12077612021-2,REG,232,(702) 462-9281,C/O APOGEE MANAGEMENT CORPORATION,4775 W TECO AVE SUITE 130,LAS VEGAS,NV,89118,Clark,western nevada management,western nevada management,western nevada management,western nevada management,255 w peckham lane,False
BUFFALO RANCH HOMEOWNERS ASSOCIATION,0037822011-8,REG,552,(702) 754-6313,C/O SIERRA COMMUNITY MANAGEMENT,8020 W SAHARA AVE STE 260,LAS VEGAS,NV,89117,Clark,associa,associa,associa,associa,7670 w lake mead blvd 100,False
BUFFALO RIDGE HOMEOWNERS ASSOCIATION,15516322021-2,REG,18,(702) 462-9281,C/O APOGEE MANAGEMENT CORPORATION,4775 W TECO AVE SUITE 130,LAS VEGAS,NV,89118,Clark,terra west management service,terra west management service,terra west management service,terra west management service,6655 s cimarron rd,False
BULLRING HOMEOWNERS ASSOCIATION,32063422023-3,REG,12,(702) 462-9281,C/O APOGEE MANAGEMENT CORPORATION,4775 W TECO AVE STE 130,LAS VEGAS,NV,89118,Clark,integrity based management,integrity based management,integrity based management,integrity based management,2920 n green valley parkway 821,False
BUNKER VISTAS HOMEOWNERS ASSOCIATION,0318432013-3,REG,41,(702) 515-2042,C/O THOROUGHBRED MANAGEMENT,2555 W CHEYENNE AVE,N LAS VEGAS,NV,89032,Clark,camco,camco,camco,camco,po box 400518,False
BURGUNDY HILL HOMEOWNERS ASSOCIATION,8208-1983,REG,63,(775) 298-7955,C/O INCLINE PROPERTY MANAGEMENT,848 TANAGER ST STE M,INCLINE VILLAGE,NV,89451,Washoe,associa,associa,associa,associa,7670 w lake mead blvd,False
BURSON RANCH HOMEOWNERS' ASSOCIATION,0006532006-9,REG,586,(702) 458-2580,C/O COLONIAL PROPERTY MANAGEMENT,8595 S EASTERN AVE,LAS VEGAS,NV,89123,Nye,terra west management service,terra west management service,terra west management service,terra west management service,6655 s cimarron rd,False
BUTLER ESTATES HOMEOWNERS ASSOCIATION,0136322006-1,REG,16,(702) 835-6904,C/O THE MANAGEMENT TRUST,8485 W SUNSET RD STE 100,LAS VEGAS,NV,89113,Clark,desert community management,desert community management,desert community management,desert community management,6240 n durango dr,False
BVE HOMEOWNERS ASSOCIATION,0243892018-2,REG,25,(702) 869-0937,C/O PRIME COMMUNITY MANAGEMENT LLC,3556 RUSSELL RD,LAS VEGAS,NV,89120,Clark,adept management service,adept management service,adept management service,adept management service,7495 w azure drive,False
CABERNET HOMEOWNERS ASSOCIATION,0106912006-6,REG,380,(775) 624-8805,C/O FIRSTSERVICE RESIDENTIAL,639 ISBELL RD STE 320,RENO,NV,89509,Washoe,colonial property management,colonial property management,colonial property management,colonial property management,8595 s eastern ave,False
CABRILLO TERRACE OWNERS ASSOCIATION,1450-1992,REG,96,(702) 835-6904,C/O THE MANAGEMENT TRUST,8485 WEST SUNSET RD STE 100,LAS VEGAS,NV,89113,Clark,taylor association management,taylor association management,taylor association management,taylor association management,259 n peco rd,False
CACHE HOMEOWNERS ASSOCIATION,0628202005-1,REG,48,(702) 737-8580,"C/O FIRSTSERVICE RESIDENTIAL, NEVADA, LLC",8290 ARVILLE ST,LAS VEGAS,NV,89139,Clark,gaston wilkerson association service,gaston wilkerson association service,gaston wilkerson association service,gaston wilkerson association service,1675 robb drive,False
CACTUS COURT HOMEOWNERS ASSOCIATION,0763322005-9,REG,120,(702) 222-2391,C/O NEVADA COMMUNITY MANAGEMENT,9500 W FLAMINGO RD STE 204,LAS VEGAS,NV,89147,Clark,howard hughe,howard hughe,howard hughe,howard hughe,10801 w charleston blvd 3rd fl,False
CACTUS CREEK AT MOUNTAINS EDGE HOMEOWNERS ASSOCIATION,0120272007-7,SUB,415,(702) 531-3382,C/O CAMCO,PO BOX 400518,LAS VEGAS,NV,89140,Clark,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,8290 arville st,False
CACTUS HILLS CROSSING HOMEOWNERS ASSOCIATION,0073622007-2,REG,118,(702) 262-9091,C/O REGAL PROPERTY MANAGEMENT,3720 W OQUENDO RD STE 101,LAS VEGAS,NV,89118,Clark,incline property management,incline property management,incline property management,incline property management,1789 e college pkwy,False
CACTUS HILLS EAST HOMEOWNERS ASSOCIATION (HIGHLAND HILLS),0864642006-0,REG,42,(702) 943-0981,"C/O 5 STRMGT, LLC",8871 W. FLAMINGO RD. STE 202,LAS VEGAS,NV,89147,Clark,nevada community management,nevada community management,nevada community management,nevada community management,9500 w flamingo rd 204,False
CACTUS HILLS ESTATES HOMEOWNERS ASSOCIATION,0073582007-6,REG,98,(702) 835-6904,C/O THE MANAGEMENT TRUST,8485 W SUNSET RD STE 100,LAS VEGAS,NV,89113,Clark,pandg,pandg,pandg,pandg,129 w lake mead pkwy,False
CACTUS HILLS SOUTH HOMEOWNERS ASSOCIATION (HIGHLAND HILLS SOUTH),0619192006-8,REG,196,(702) 737-8580,C/O FIRSTSERVICE RESIDENTIAL NEVADA LLC,8290 ARVILLE ST,LAS VEGAS,NV,89139,Clark,associa,associa,associa,associa,7670 w lake mead blvd,False
CACTUS HILLS SQUARE HOMEOWNERS ASSOCIATION,0475902005-0,REG,260,(702) 262-9091,C/O REAL PROPERTY MANAGEMENT GROUP,3720 WEST OQUENDO ROAD SUITE 101,LAS VEGAS,NV,89118,Clark,kallfelz team dba hoa management,kallfelz team dba hoa management,kallfelz team dba hoa management,kallfelz team dba hoa management,2701 n tenaya way,False
CACTUS HILLS TWILIGHT HOMEOWNERS ASSOCIATION,0475562005-8,REG,197,(702) 968-0405,C/O VARALINO COMMUNITY MANAGEMENT,6345 S PECOS RD STE 206,LAS VEGAS,NV,89120,Clark,colonial property management,colonial property management,colonial property management,colonial property management,736 w pioneer blvd,False
CACTUS LANDING AT MOUNTAIN'S EDGE HOMEOWNERS ASSOCIATION,,SAM,,(702) 457-6362,C/O CAPITAL CONSULTANTS MANAGEMENT CORPORATION,"8090 BLUE DIAMOND ROAD, SUITE 240",LAS VEGAS,NV,89178,Clark,equu management group,equu management group,equu management group,equu management group,5480 reno corporate dr,False
CACTUS RIDGE COMMUNITY ASSOCIATION,0461682017-0,REG,73,(702) 531-3382,C/O CAMCO,P O BOX 400518,LAS VEGAS,NV,89140,Clark,real propertie management group,real propertie management group,real propertie management group,real propertie management group,po box 95606,False
CACTUS SPRING HOMEOWNERS' ASSOCIATION,21359-2004,REG,52,(702) 362-6262,C/O TERRA WEST MANAGEMENT SERVICES,6655 S CIMARRON RD STE 200,LAS VEGAS,NV,89113,Clark,community management group,community management group,community management group,community management group,2450 box canyon dr,False
CACTUS SPRINGS AT FAIRFAX VILLAGE HOMEOWNERS ASSOCIATION,0056302005-1,REG,150,(702) 869-0937,C/O PRIME COMMUNITY MANAGEMENT LLC,3556 E RUSSELL RD,LAS VEGAS,NV,89120,Clark,olympia management service,olympia management service,olympia management service,olympia management service,11411 southern highland pkwy,False
CACTUS SPRINGS AT PUEBLO CROSSING HOMEOWNERS ASSOCIATION,0280182005-7,REG,67,(702) 365-6720,C/O FIRST COLUMBIA COMMUNITY MANAGEMENT INC,"3100 W. SAHARA AVE, SUITE 203",LAS VEGAS,NV,89102,Clark,equu management group,equu management group,equu management group,equu management group,5480 reno corporate dr,False
CACTUS SPRINGS COMMUNITY ASSOCIATION,18026-2002,REG,283,(702) 851-7660,C/O NICKLIN PROPERTY MANAGEMENT,375 N STEPHANIE ST STE 911,HENDERSON,NV,89014,Clark,camco,camco,camco,camco,po box 400518,False
CACTUS WREN ESTATES HOA LLC,0382212007-7,REG,10,(552) 234-4738,,391 CACTUS RIVER CT,HENDERSON,NV,89074,Clark,,,,,,
CADENCE RESIDENTIAL COMMUNITY MASTER ASSOCIATION,0603252013-7,MSTR,13250,(702) 605-3111,C/O CAPITAL CONSULTANTS MANAGEMENT CORPORATION,"1170 E SUNSET ROAD, STE 101",HENDERSON,NV,89011,Clark,hoamco,hoamco,hoamco,hoamco,5484 reno corporate drive,False
CAHI #6 HOMEOWNER'S ASSOCIATION,28775-1999,REG,24,(775) 782-6340,C/O CAMCO,333 N. CURRY ST STE B,CARSON CITY,NV,89703,Douglas,community management group,community management group,community management group,community management group,2450 box canyon dr,False
CALABRIA HOMEOWNERS ASSOCIATION,27890-2004,REG,70,(702) 982-2587,C/O NEVADA'S FINEST PROPERTIES LLC,3568 E RUSSELL RD,LAS VEGAS,NV,89120,Clark,community management group,community management group,community management group,community management group,2450 box canyon dr,False
CALAIS AT FALCON RIDGE OWNERS' ASSOCIATION,30328-2002,SUB,63,(702) 346-2288,C/O TERRA WEST MANAGEMENT SERVICES,450 HILLSIDE DR STE A-200,MESQUITE,NV,89027,Clark,nevada community management,nevada community management,nevada community management,nevada community management,7571 tule spring rd,False
CALAIS OWNERS' ASSOCIATION,0570452012-0,SUB,14,(702) 345-2200,C/O COLONIAL PROPERTY MANAGEMENT,736 W PIONEER BLVD STE 200,MESQUITE,NV,89027,Clark,first columbia community management,first columbia community management,first columbia community management,first columbia community management,po box 28759,False
CALAVERA HOMEOWNERS ASSOCIATION,2622-2004,SUB,166,(702) 222-2391,C/O NEVADA COMMUNITY MANAGEMENT,9500 W FLAMINGO RD STE 204,LAS VEGAS,NV,89147,Clark,terra west management service,terra west management service,terra west management service,terra west management service,6655 s cimarron rd,False
CALICO HILLS OWNERS ASSOCIATION,13349-1995,REG,12,(702) 869-0937,C/O PRIME COMMUNITY MANAGEMENT LLC,3556 E RUSSELL RD,LAS VEGAS,NV,89120,Clark,regal property management,regal property management,regal property management,regal property management,3720 w oquendo rd,False
"CALICO RIDGE OWNERS ASSOCIATION, THE",8564-1983,REG,400,(702) 851-7660,C/O NICKLIN COMMUNITY MANAGEMENT,375 N STEPHANIE ST STE 911,HENDERSON,NV,89014,Clark,las vega community management group,las vega community management group,las vega community management group,las vega community management group,2850 w horizon ridge pkwy,False
CALIMESA HOMEOWNERS ASSOCIATION,25007-2002,REG,90,(702) 362-6262,C/O TERRA WEST MANAGEMENT SERVICES,6655 S CIMARRON RD STE 200,LAS VEGAS,NV,89113,Clark,adept management service,adept management service,adept management service,adept management service,6605 grand montecito pkwy,False
CALVADA AERO PARK ASSOCIATION,6814-1979,REG,354,(702) 365-6720,C/O FIRST COLUMBIA COMMUNITY MANAGEMENT INC,"3100 W SAHARA AVE, SUITE 203",LAS VEGAS,NV,89102,Nye,prime community management,prime community management,prime community management,prime community management,3556 e russell rd,False
CALVADA GREENS HOMEOWNERS ASSOCIATION,2409-1988,REG,15,(702) 942-2500,C/O COMMUNITY MANAGEMENT GROUP,2450 BOX CANYON DR,LAS VEGAS,NV,89128,Nye,prime community management,prime community management,prime community management,prime community management,3556 e russell rd,False
CALYPSO HOMEOWNERS ASSOCIATION,10608302020-6,REG,10,(702) 395-2399,C/O TRITON HOA SERVICES LLC,"10501 W GOWAN ROAD, SUITE 260",LAS VEGAS,NV,89129,Clark,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,375 n stephanie st,False
CAMBRIA COLINAS HOMEOWNERS ASSOCIATION,0151222005-7,REG,240,(702) 222-2391,C/O NEVADA COMMUNITY MANAGEMENT,9500 W FLAMINGO RD #204,LAS VEGAS,NV,89147,Clark,elite hoa management,elite hoa management,elite hoa management,elite hoa management,8425 w flamingo rd,False
CAMBRIA HILLS HOMEOWNERS ASSOCIATION,4753-1996,REG,96,(702) 736-9450,C/O TAYLOR ASSOCIATION MANAGEMENT,259 N PECOS RD STE 100,HENDERSON,NV,89074,Clark,assured real estate,assured real estate,assured real estate,assured real estate,po box 530778,False
CAMBRIA HOMEOWNERS ASSOCIATION,0223342006-9,REG,85,702-365-6720,C/O FIRST COLUMBIA COMMUNITY MANAGEMENT INC,"3100 W. SAHARA AVE., SUITE 203",LAS VEGAS,NV,89102,Clark,nevada community management,nevada community management,nevada community management,nevada community management,7571 tule spring rd,False
"CAMBRIA HOMEOWNERS' ASSOCIATION AT MESQUITE ESTATES, THE",6663902020-3,SUB,163,(702) 346-2288,C/O TERRA WEST MANAGEMENT SERVICES,450 HILLSIDE DR SUITE A200,MESQUITE,NV,89027,Clark,associa,associa,associa,associa,7670 w lake mead blvd,False
CAMBRIA MAINTENANCE ASSOCIATION,0652702005-1,REG,142,(702) 433-0149,C/O LEVEL PROPERTY MANAGEMENT,8966 SPANISH RIDGE AVE STE 100,LAS VEGAS,NV,89148,Clark,nevada community management,nevada community management,nevada community management,nevada community management,9500 w flamingo rd,False
CAMBRIDGE CROSSING COMMUNITY ASSOCIATION,2213-1996,SUB,98,(702) 737-8580,"C/O FIRSTSERVICE RESIDENTIAL, NEVADA, LLC",8290 ARVILLE ST,LAS VEGAS,NV,89139,Clark,colonial property management,colonial property management,colonial property management,colonial property management,736 w pioneer blvd,False
"CAMBRIDGE GARDENS APARTMENT HOME OWNERS ASSOCIATION, INC.",28927-2002,REG,56,(702) 222-2391,C/O NEVADA COMMUNITY MANAGEMENT,9500 W FLAMINGO RD STE 204,LAS VEGAS,NV,89147,Clark,olympia management service,olympia management service,olympia management service,olympia management service,11411 southern highland pkwy,False
CAMBRIDGE HEIGHTS COMMUNITY ASSOCIATION,18704-1996,REG,137,(702) 736-9450,C/O TAYLOR ASSOCIATION MANAGEMENT,259 NORTH PECOS RD STE 100,HENDERSON,NV,89074,Clark,taylor association management,taylor association management,taylor association management,taylor association management,259 n peco rd,False
CAMBRIDGE HOMEOWNERS ASSOCIATION,0459892006-8,SUB,275,(702) 433-0149,C/O LEVEL PROPERTY MANAGEMENT,"8966 SPANISH RIDGE AVE, SUITE 100",LAS VEGAS,NV,89148,Clark,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,2555 w cheyenne ave,False
CAMDEN AT VIRGINIA LAKE CROSSING HOMEOWNERS ASSOCIATION,0072962007-1,REG,51,(775) 284-4434,"C/O WESTERN NEVADA MANAGEMENT, INC",255 W PECKHAM LANE SUITE 2,RENO,NV,89509,Washoe,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,8290 arville st,False
CAMDEN COURTS COMMUNITY ASSOCIATION,9767572020-8,REG,40,(702) 795-3344,C/O ASSOCIA NEVADA SOUTH,7670 W LAKE MEAD BLVD #100,LAS VEGAS,NV,89128,Clark,level property management,level property management,level property management,level property management,8966 spanish ridge ave,False
CAMDEN HOMEOWNERS ASSOCIATION,5302932020-6,REG,40,(702) 639-8410,C/O TERRA WEST MANAGEMENT SERVICES,6655 S CIMARRON RD STE 200,LAS VEGAS,NV,89113,Clark,camco,camco,camco,camco,po box 400518,False
CAMDEN PARK HOMEOWNERS ASSOCIATION,9144-1997,REG,150,(702) 754-0000,"C/O INTEGRITY BASED MANAGEMENT, LLC",2920 N GREEN VALLEY PARKWAY #821,HENDERSON,NV,89014,Clark,griswold real estate management,griswold real estate management,griswold real estate management,griswold real estate management,3260 fountain fall way,False
CAMERON AND CRESTONE HOMEOWNERS ASSOCIATION,0819252005-7,SUB,210,(702) 531-3382,C/O CAMCO,PO BOX 400518,LAS VEGAS,NV,89140,Clark,anchor management and consulting,anchor management and consulting,anchor management and consulting,anchor management and consulting,2320 s carson st,False
CAMERON FRIAS COMMUNITY ASSOCIATION,17416362021-7,REG,484,(702) 795-3344,C/O ASSOCIA NEVADA SOUTH,7670 W. LAKE MEAD BLVD STE 100,LAS VEGAS,NV,89128,Clark,howard hughe,howard hughe,howard hughe,howard hughe,10801 w charleston blvd 3rd fl,False
CAMERON POINTE HOMEOWNERS ASSOCIATION,0439062016-7,REG,96,(702) 639-8410,C/O TERRA WEST MANAGEMENT SERVICES,6655 S CIMARRON RD STE 200,LAS VEGAS,NV,89113,Clark,the management trust,the management trust,the management trust,the management trust,8485 w sunset rd,False
CAMP LADY OF THE SNOWS MUTUAL WATER AND IMPROVEMENT ASSOCIATION,364-1960,REG,73,(702) 982-0430,"C/O DESERT COMMUNITY MANAGEMENT, LLC",6240 N DURANGO DR STE 115,LAS VEGAS,NV,89149,Clark,howard hughe,howard hughe,howard hughe,howard hughe,10801w charleston blvd 3rd fl,False
CANABERRY ESTATES HOMEOWNERS ASSOCIATION,0235132012-6,REG,8,(702) 645-1210,C/O ADEPT MANAGEMENT SERVICES INC,7495 W AZURE DRIVE STE 140 D,LAS VEGAS,NV,89149,Clark,associa,associa,associa,associa,7670 w lake mead blvd,False
CANDLELIGHT ESTATES HOMEOWNERS' ASSOCIATION,23606-1996,REG,74,(702) 458-2580,C/O COLONIAL PROPERTY MANAGEMENT,8595 S EASTERN AVENUE,LAS VEGAS,NV,89123,Clark,las vega community management group,las vega community management group,las vega community management group,las vega community management group,2850 w horizon ridge pkwy,False
"CANTABRIA OWNERS ASSOCIATION, INC",21621-1995,SUB,100,(702) 736-9450,C/O TAYLOR ASSOCIATION MANAGEMENT,259 N PECOS RD STE 100,HENDERSON,NV,89074,Clark,level property management,level property management,level property management,level property management,8966 spanish ridge ave,False
CANTABRIA TOWNHOMES OWNERS ASSOCIATION,0196452018-2,REG,32,(775) 473-6565,"C/O GASTON WILKERSON ASSOCIATION SERVICES, INC.",1675 ROBB DRIVE STE 5,RENO,NV,89523,Washoe,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,8290 arville st,False
CANTERRA @ SUMMERLIN WEST COMMUNITY ASSOCIATION,SAME AS MASTER,SAM,96,(702) 791-4600,C/O HOWARD HUGHES CORPORATION,10801 W CHARLESTON BLVD 3RD FL,LAS VEGAS,NV,89135,Clark,camco,camco,camco,camco,po box 400518,False
CANTURA HOMEOWNERS ASSOCIATION,24825-2004,REG,294,(702) 737-8580,"C/O FIRSTSERVICE RESIDENTIAL, NEVADA, LLC",8290 ARVILLE ST,LAS VEGAS,NV,89139,Clark,seabreeze management,seabreeze management,seabreeze management,seabreeze management,8329 w sunset rd,False
CANYON CREEK ESTATES HOMEOWNERS ASSOCIATION,11168-2002,REG,80,(775) 298-7990,C/O INCLINE PROPERTY MANAGEMENT,1789 E COLLEGE PKWY STE 128,CARSON CITY,NV,89706,Douglas,pinnacle community association management,pinnacle community association management,pinnacle community association management,pinnacle community association management,9330 w sahara ave,False
CANYON CREEK NORTH HOMEOWNERS ASSOCIATION,6598-1995,REG,293,(702) 222-2391,C/O NEVADA COMMUNITY MANAGEMENT,9500 WEST FLAMINGO ROAD #204,LAS VEGAS,NV,89149,Clark,nevada finest propertie,nevada finest propertie,nevada finest propertie,nevada finest propertie,3568 e russell rd,False
CANYON CREEK VILLAS HOMEOWNERS ASSOCIATION,0824402006-4,REG,280,(702) 202-4330,C/O PANDG,129 W LAKE MEAD PKWY STE 16,HENDERSON,NV,89015,Clark,the spanish trail master associaiton,spanish trail master assn,spanish trail master assn,spanish trail master assn,7495 mission hill dr,True
CANYON CREST ASSOCIATION,30645-2003,REG,90,(702) 795-3344,C/O ASSOCIA NEVADA SOUTH,7670 W LAKE MEAD BLVD STE 100,LAS VEGAS,NV,89128,Clark,las vega community management group,las vega community management group,las vega community management group,las vega community management group,2850 w horizon ridge pkwy,False
CANYON CREST COMMUNITY ASSOCIATION,482-1998,SUB,64,(702) 990-9707,C/O KALLFELZ TEAM DBA HOA MANAGEMENT,2701 N TENAYA WAY STE 130,LAS VEGAS,NV,89128,Clark,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,710 coronado center drive,False
CANYON CREST MASTERS ASSOCIATION,36138-2004,REG,1043,(702) 345-2200,C/O COLONIAL PROPERTY MANAGEMENT,736 W PIONEER BLVD STE 200,MESQUITE,NV,89027,Clark,terra west management service,terra west management service,,terra west management service,po box 80900,False
CANYON CROSSING HOMEOWNERS ASSOCIATION,0636942008-2,REG,63,(775) 852-2224,C/O EQUUS MANAGEMENT GROUP,5480 RENO CORPORATE DR STE 100,RENO,NV,89511,Washoe,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,375 n stephanie st,False
CANYON FAIRWAYS COMMUNITY ASSOCIATION,25644-1996,SUB,152,(702) 933-7764,C/O REAL PROPERTIES MANAGEMENT GROUP INC,PO BOX 95606,LAS VEGAS,NV,89193,Clark,kenyon associate,kenyon associate,kenyon associate,kenyon associate,645 sierra rose dr,False
CANYON FALLS ESTATES HOMEOWNERS' ASSOCIATION,0205752011-3,REG,55,(702) 942-2500,C/O COMMUNITY MANAGEMENT GROUP,2450 BOX CANYON DR,LAS VEGAS,NV,89128,Clark,desert living,desert living,desert living,desert living,8925 s peco rd,False
CANYON GATE MASTER ASSOCIATION,822-1989,REG,507,(702) 361-6640,C/O OLYMPIA MANAGEMENT SERVICES,"11411 SOUTHERN HIGHLANDS PKWY, SUITE 100",LAS VEGAS,NV,89141,Clark,triton hoa service,triton hoa service,triton hoa service,triton hoa service,10501 w gowan rd,False
"CANYON HILLS LANDSCAPING MAINTENANCE ASSOCIATION, INC.",0856512005-4,REG,157,(775) 852-2224,C/O EQUUS MANAGEMENT GROUP,5480 RENO CORPORATE DR STE 100,RENO,NV,89511,Washoe,nevada community management,nevada community management,nevada community management,nevada community management,9500 w flamingo rd,False
CANYON MIST ESTATES HOMEOWNERS ASSOCIATION,708-2004,REG,100,(702) 531-3382,C/O CAMCO,PO BOX 400518,LAS VEGAS,NV,89140,Clark,incline property management,incline property management,incline property management,incline property management,1789 e college pkwy,False
CANYON OAKS OWNERS ASSOCIATION,17124-1995,SUB,73,(702) 933-7764,"C/O REAL PROPERTY MANAGEMENT GROUP, INC.",3077 E WARM SPRINGS RD,LAS VEGAS,NV,89120,Clark,sierra community management,sierra community management,sierra community management,sierra community management,8020 w sahara,False
CANYON PINES HOMEOWNERS ASSOCIATION,2001-2005,REG,301,(775) 446-4479,C/O HOAMCO,5484 RENO CORPORATE DRIVE STE 2,RENO,NV,89511,Washoe,sierra community management,sierra community management,sierra community management,sierra community management,8020 w sahara ave,False
CANYON RANCH ESTATES HOMEOWNERS ASSOCIATION,7160-1990,REG,100,(702) 942-2500,C/O COMMUNITY MANAGEMENT GROUP,2450 BOX CANYON DR,LAS VEGAS,NV,89128,Clark,controlled resource management group,controlled resource management group,controlled resource management group,controlled resource management group,83 continental dr,False
