Name,SOS#,Assn Type,# of Units,Telephone,Address1,Address2,City,State,Zip Code,County,Address2_Normalized,Firm_Normalized,Phone_Normalized,Firm_ByPhone,Firm_ByAddress,Firm_Canonical,Firm_Final
"Pecos Villas Homeowners Association, Inc",6576-1979,REG,66.0,(702) 368-4637, Elite Hoa Management Inc,8425 W Flamingo Rd Ste 1,Las Vegas,NV,89147,Clark,8425 w flamingo rd,elite hoa management,7023684637,elite hoa management,elite hoa management,elite hoa management,elite hoa management
Solandra Homeowners Association,0016082017-9,REG,18.0,(702) 368-4637, Elite Hoa Management Inc,8425 W Flamingo Rd Ste 1,Las Vegas,NV,89147,Clark,8425 w flamingo rd,elite hoa management,7023684637,elite hoa management,elite hoa management,elite hoa management,elite hoa management
Starlight Estates West Homeowners' Association,3317-1994,REG,30.0,(702) 368-4637, Elite Hoa Management Inc,8425 W Flamingo Rd Ste 1,Las Vegas,NV,89147,Clark,8425 w flamingo rd,elite hoa management,7023684637,elite hoa management,elite hoa management,elite hoa management,elite hoa management
Timber Creek Homeowners' Association,0152292007-7,REG,78.0,(702) 368-4637, Elite Hoa Management Inc,8425 W Flamingo Rd Ste 1,Las Vegas,NV,89147,Clark,8425 w flamingo rd,elite hoa management,7023684637,elite hoa management,elite hoa management,elite hoa management,elite hoa management
Willow Court Community Association,18591-1999,SUB,40.0,(702) 368-4637, Elite Hoa Management Inc,8425 W Flamingo Rd Ste 1,Las Vegas,NV,89147,Clark,8425 w flamingo rd,elite hoa management,7023684637,elite hoa management,elite hoa management,elite hoa management,elite hoa management
Alexis Heights Unit Owners Association,0037492005-9,REG,256.0,(702) 373-8580," Firstservice Residential, Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark,8290 arville st,firstservice residential nevada,7023738580,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada
Capri Unit 2 Homeowners Association,2043-2000,REG,24.0,(702) 385-6904, The Management Trust,8485 W Sunset Rd Ste 100,Las Vegas,NV,89113,Clark,8485 w sunset rd,the management trust,7023856904,the management trust,the management trust,the management trust,the management trust
Durango Ranch Homeowners' Association,0012532012-5,REG,77.0,(702) 385-6904, The Management Trust,8485 W Sunset Rd Ste 100,Las Vegas,NV,89113,Clark,8485 w sunset rd,the management trust,7023856904,the management trust,the management trust,the management trust,the management trust
Altitude Homeowners Association,1816682019-5,REG,6.0,(702) 395-2399, Triton Hoa Services Llc,10501 W Gowan Rd Suite 260,Las Vegas,NV,89129,Clark,10501 w gowan rd,triton hoa service,7023952399,triton hoa service,triton hoa service,triton hoa service,triton hoa service
Ascent Homeowners Association,8750842020-4,REG,20.0,(702) 395-2399, Triton Hoa Services Llc,"10501 West Gowan Road, Suite 260",N Las Vegas,NV,89129,Clark,10501 w gowan rd,triton hoa service,7023952399,triton hoa service,triton hoa service,triton hoa service,triton hoa service
Autumn Chase Homeowners Association,34829-2001,REG,46.0,(702) 395-2399, Triton Hoa Services Llc,10501 W Gowan Rd Ste 260,Las Vegas,NV,89129,Clark,10501 w gowan rd,triton hoa service,7023952399,triton hoa service,triton hoa service,triton hoa service,triton hoa service
Bright Angel Estates Homeowners Association,0546192013-9,REG,10.0,(702) 395-2399, Triton Hoa Services Llc,10501 W Gowan Rd Suite 260,Las Vegas,NV,89129,Clark,10501 w gowan rd,triton hoa service,7023952399,triton hoa service,triton hoa service,triton hoa service,triton hoa service
Calypso Homeowners Association,10608302020-6,REG,10.0,(702) 395-2399, Triton Hoa Services Llc,"10501 W Gowan Road, Suite 260",Las Vegas,NV,89129,Clark,10501 w gowan rd,triton hoa service,7023952399,triton hoa service,triton hoa service,triton hoa service,triton hoa service
Carriage Park Community Association,33388-2000,REG,119.0,(702) 395-2399, Triton Hoa Services Llc,10501 W Gowan Rd Ste 260,Las Vegas,NV,89129,Clark,10501 w gowan rd,triton hoa service,7023952399,triton hoa service,triton hoa service,triton hoa service,triton hoa service
Desert Trace Homeowners Association,0482112018-9,REG,12.0,(702) 395-2399, Triton Hoa Services Llc,10501 W Gowan Rd Suite 260,Las Vegas,NV,89129,Clark,10501 w gowan rd,triton hoa service,7023952399,triton hoa service,triton hoa service,triton hoa service,triton hoa service
Diamond Head Villas Association Phase Ii,9508-1996,REG,32.0,(702) 395-2399, Triton Hoa Services Llc,10501 W Gowan Rd Suite 260,Las Vegas,NV,89129,Clark,10501 w gowan rd,triton hoa service,7023952399,triton hoa service,triton hoa service,triton hoa service,triton hoa service
Diamond Head Villas Inc,3285-1981,REG,32.0,(702) 395-2399, Triton Hoa Services Llc,"10501 W Gowan Road, Suite 260",Las Vegas,NV,89129,Clark,10501 w gowan rd,triton hoa service,7023952399,triton hoa service,triton hoa service,triton hoa service,triton hoa service
Diamond Springs Estates Homeowners Association,568-1997,REG,50.0,(702) 395-2399, Triton Hoa Services Llc,10501 W Gowan Rd Suite 260,Las Vegas,NV,89129,Clark,10501 w gowan rd,triton hoa service,7023952399,triton hoa service,triton hoa service,triton hoa service,triton hoa service
Eagle'S Rock Estates Homeowners Association,0513292011-0,REG,9.0,(702) 395-2399, Triton Hoa Services Llc,10501 W Gowan Rd Suite 260,Las Vegas,NV,89129,Clark,10501 w gowan rd,triton hoa service,7023952399,triton hoa service,triton hoa service,triton hoa service,triton hoa service
Elk Ridge Estates Iv Homeowners Association,0519762018-0,REG,16.0,(702) 395-2399, Triton Hoa Services Llc,10501 W Gowan Rd Suite 260,Las Vegas,NV,89129,Clark,10501 w gowan rd,triton hoa service,7023952399,triton hoa service,triton hoa service,triton hoa service,triton hoa service
Grand Estates Street And Landscape Maintenance Corporation,18719-1998,REG,55.0,(702) 395-2399, Triton Hoa Services Llc,10501 W Gowan Rd Suite 260,Las Vegas,NV,89129,Clark,10501 w gowan rd,triton hoa service,7023952399,triton hoa service,triton hoa service,triton hoa service,triton hoa service
Mountain View Ranch Homeowners Association,21240-2004,REG,10.0,(702) 395-2399, Triton Hoa Services Llc,10501 W Gowan Rd Suite 260,Las Vegas,NV,89129,Clark,10501 w gowan rd,triton hoa service,7023952399,triton hoa service,triton hoa service,triton hoa service,triton hoa service
Park Trails Estates Homeowners Association,31035-2004,REG,24.0,(702) 395-2399, Triton Hoa Services Llc,10501 W Gowan Rd Suite 260,Las Vegas,NV,89129,Clark,10501 w gowan rd,triton hoa service,7023952399,triton hoa service,triton hoa service,triton hoa service,triton hoa service
Primrose Estates Community Association,0079652013-9,REG,13.0,(702) 395-2399, Triton Hoa Services Llc,"10501 W Gowan Rd, Suite 260",Las Vegas,NV,89129,Clark,10501 w gowan rd,triton hoa service,7023952399,triton hoa service,triton hoa service,triton hoa service,triton hoa service
Skyline Point Homeowners Association,0452162016-6,REG,8.0,(702) 395-2399, Triton Hoa Services Llc,10501 W Gowan Rd Suite 260,Las Vegas,NV,89129,Clark,10501 w gowan rd,triton hoa service,7023952399,triton hoa service,triton hoa service,triton hoa service,triton hoa service
Skyline Trail Homeowners Association,0452052016-3,REG,8.0,(702) 395-2399, Triton Hoa Services Llc,10501 W Gowan Rd Suite 260,Las Vegas,NV,89129,Clark,10501 w gowan rd,triton hoa service,7023952399,triton hoa service,triton hoa service,triton hoa service,triton hoa service
Skyline Vista Homeowners Association,0184002015-2,REG,8.0,(702) 395-2399, Triton Hoa Services Llc,10501 W Gowan Rd Suite 260,Las Vegas,NV,89129,Clark,10501 w gowan rd,triton hoa service,7023952399,triton hoa service,triton hoa service,triton hoa service,triton hoa service
Starlight Homeowners Association,14418-1993,REG,48.0,(702) 395-2399, Triton Hoa Services Llc,10501 W Gowan Rd Suite 260,Las Vegas,NV,89129,Clark,10501 w gowan rd,triton hoa service,7023952399,triton hoa service,triton hoa service,triton hoa service,triton hoa service
Treviso Estates Homeowners Association,0348892013-3,REG,20.0,(702) 395-2399, Triton Hoa Services Llc,10501 W Gowan Rd Suite 260,Las Vegas,NV,89129,Clark,10501 w gowan rd,triton hoa service,7023952399,triton hoa service,triton hoa service,triton hoa service,triton hoa service
"Regent At Town Centre Homeowners' Association, The",1906-2005,REG,284.0,(702) 396-4404, The Management Trust,8485 W Sunset Rd Ste 100,Las Vegas,NV,89113,Clark,8485 w sunset rd,the management trust,7023964404,the management trust,the management trust,the management trust,the management trust
Bar Arbor Glen At Providence Homeowners Association,0870632006-7,SUB,513.0,(702) 396-6042, Desert Hoa Management Inc,Po Box 750639,Las Vegas,NV,89136,Clark,po box 750639,desert hoa management,7023966042,desert hoa management,desert hoa management,desert hoa management,desert hoa management
Champion Village Community Association,18396-1997,REG,508.0,(702) 396-6042, Desert Hoa Management Inc,Po Box 750639,Las Vegas,NV,89136,Clark,po box 750639,desert hoa management,7023966042,desert hoa management,desert hoa management,desert hoa management,desert hoa management
Cimarron Gowan Community Association,9933-1994,REG,564.0,(702) 396-6042, Desert Hoa Management Inc,Po Box 750639,Las Vegas,NV,89128,Clark,po box 750639,desert hoa management,7023966042,desert hoa management,desert hoa management,desert hoa management,desert hoa management
City Lights Estates Homeowners Association,2196-1988,REG,120.0,(702) 396-6042, Desert Hoa Management,Po Box 750639,Las Vegas,NV,89136,Clark,po box 750639,desert hoa management,7023966042,desert hoa management,desert hoa management,desert hoa management,desert hoa management
Day Dawn Village Homeowners Association,24488-2002,REG,40.0,(702) 396-6042, Desert Hoa Management Inc,Po Box 750639,Las Vegas,NV,89136,Clark,po box 750639,desert hoa management,7023966042,desert hoa management,desert hoa management,desert hoa management,desert hoa management
"Enclave Ii Homeowners Association, The",24824-2004,REG,72.0,(702) 396-6042, Desert Hoa Management Inc,Po Box 750639,Las Vegas,NV,89136,Clark,po box 750639,desert hoa management,7023966042,desert hoa management,desert hoa management,desert hoa management,desert hoa management
Foothills Ranch East Homeowners Association,0641772011-3,REG,14.0,(702) 396-6042, Desert Hoa Management Inc,Po Box 750639,Las Vegas,NV,89128,Clark,po box 750639,desert hoa management,7023966042,desert hoa management,desert hoa management,desert hoa management,desert hoa management
Heritage Estates Community Association,21853-2000,REG,76.0,(702) 396-6042, Desert Hoa Management Inc,Po Box 750639,Las Vegas,NV,89136,Clark,po box 750639,desert hoa management,7023966042,desert hoa management,desert hoa management,desert hoa management,desert hoa management
Liberty At Warm Springs Community Association,8854-2003,REG,238.0,(702) 396-6042, Desert Hoa Management Inc,P.O. Box 750639,Las Vegas,NV,89136,Clark,po box 750639,desert hoa management,7023966042,desert hoa management,desert hoa management,desert hoa management,desert hoa management
San Marcos At Summerlin Homeowners Association,33575-2001,SUB,111.0,(702) 396-6042, Desert Hoa Management Inc,Po Box 750639,Las Vegas,NV,89136,Clark,po box 750639,desert hoa management,7023966042,desert hoa management,desert hoa management,desert hoa management,desert hoa management
Val D'Isere Homeowners Association,8598-1997,REG,80.0,(702) 396-6042, Desert Hoa Management Inc,Po Box 750639,Las Vegas,NV,89136,Clark,po box 750639,desert hoa management,7023966042,desert hoa management,desert hoa management,desert hoa management,desert hoa management
Verada View At Providence Homeowners' Association,0418712013-8,SUB,192.0,(702) 396-6042, Desert Hoa Management Inc,Po Box 750639,Las Vegas,NV,89136,Clark,po box 750639,desert hoa management,7023966042,desert hoa management,desert hoa management,desert hoa management,desert hoa management
Wine Ridge Estates Homeowners' Association,979-2005,REG,415.0,(702) 396-6042, Desert Hoa Management Inc,Po Box 750639,Las Vegas,NV,89136,Clark,po box 750639,desert hoa management,7023966042,desert hoa management,desert hoa management,desert hoa management,desert hoa management
Adagio Homeowners' Association,0667642005-0,REG,282.0,(702) 405-3300, Pinnacle Community Association Management,9330 W. Sahara Ave Ste 210,Las Vegas,NV,89117,Clark,9330 w sahara ave,pinnacle community association management,7024053300,pinnacle community association management,pinnacle community association management,pinnacle community association management,p g association management
Aviano Homeowner Association,24437-2004,REG,104.0,(702) 405-3300, Pinnacle Community Association Management,9330 W. Sahara Ave Ste 210,Las Vegas,NV,89117,Clark,9330 w sahara ave,pinnacle community association management,7024053300,pinnacle community association management,pinnacle community association management,pinnacle community association management,p g association management
Big Green Lane Homeowners Association Inc,12535-1994,SUB,24.0,(702) 405-3300, Pinnacle Community Association Management,9330 W. Sahara Ave Suite 210,Las Vegas,NV,89117,Clark,9330 w sahara ave,pinnacle community association management,7024053300,pinnacle community association management,pinnacle community association management,pinnacle community association management,p g association management
"Carmel Cove Homeowners Association, Inc.",0013012006-6,REG,60.0,(702) 405-3300, Pinnacle Community Association Management,9330 W. Sahara Ave Ste 210,Las Vegas,NV,89117,Clark,9330 w sahara ave,pinnacle community association management,7024053300,pinnacle community association management,pinnacle community association management,pinnacle community association management,p g association management
"Courtyard Sunscape Homeowners Association, Inc.",0272832005-6,REG,70.0,(702) 405-3300, Pinnacle Community Association Management,9330 W. Sahara Ave Ste 210,Las Vegas,NV,89117,Clark,9330 w sahara ave,pinnacle community association management,7024053300,pinnacle community association management,pinnacle community association management,pinnacle community association management,p g association management
Durango Valley Assemblage Community Association,0219112015-7,REG,80.0,(702) 405-3300, Pinnacle Community Association Management,9330 W Sahara Ave Ste 210,Las Vegas,NV,89117,Clark,9330 w sahara ave,pinnacle community association management,7024053300,pinnacle community association management,pinnacle community association management,pinnacle community association management,p g association management
Encanto Encore Homeowners Association,24672-2004,REG,43.0,(702) 405-3300, Pinnacle Community Association Management,9330 W. Sahara Ave Ste 210,Las Vegas,NV,89117,Clark,9330 w sahara ave,pinnacle community association management,7024053300,pinnacle community association management,pinnacle community association management,pinnacle community association management,p g association management
Georgetown West Townhouse Owner'S Association,970-1978,REG,150.0,(702) 405-3300, Pinnacle Community Association Management,9330 W. Sahara Ave Suite 210,Las Vegas,NV,89117,Clark,9330 w sahara ave,pinnacle community association management,7024053300,pinnacle community association management,pinnacle community association management,pinnacle community association management,p g association management
"Greens Homeowners Association Inc, The",1019-1977,REG,123.0,(702) 405-3300, Pinnacle Community Association Management,9330 W Sahara Ave Ste 210,Las Vegas,NV,89117,Clark,9330 w sahara ave,pinnacle community association management,7024053300,pinnacle community association management,pinnacle community association management,pinnacle community association management,p g association management
Lamplight Cottages At Buffalo And Windmill Homeowners' Association,0292412006-1,REG,99.0,(702) 405-3300, Pinnacle Community Association Management,9330 W. Sahara Ave Ste 210,Las Vegas,NV,89117,Clark,9330 w sahara ave,pinnacle community association management,7024053300,pinnacle community association management,pinnacle community association management,pinnacle community association management,p g association management
Lamplight Village @ Centennial Springs Homeowners Association,29736-2000,REG,284.0,(702) 405-3300, Pinnacle Community Association Management,9330 W Sahara Ave Suite 210,Las Vegas,NV,89117,Clark,9330 w sahara ave,pinnacle community association management,7024053300,pinnacle community association management,pinnacle community association management,pinnacle community association management,p g association management
Monterosso Park Paseo Homeowners Association,12412-2002,SUB,87.0,(702) 405-3300, Pinnacle Community Association Management,9330 W Sahara Ave Ste 210,Las Vegas,NV,89117,Clark,9330 w sahara ave,pinnacle community association management,7024053300,pinnacle community association management,pinnacle community association management,pinnacle community association management,p g association management
"Mountain Shadows Homeowner'S Association, Inc.",5960-1992,REG,314.0,(702) 405-3300, Pinnacle Community Association Management,9330 W Sahara Ave Ste 210,Las Vegas,NV,89117,Clark,9330 w sahara ave,pinnacle community association management,7024053300,pinnacle community association management,pinnacle community association management,pinnacle community association management,p g association management
Owens Estates Homeowners' Association,0571472005-4,REG,16.0,(702) 405-3300, Pinnacle Community Association Management,9330 W. Sahara Ave Ste 210,Las Vegas,NV,89117,Clark,9330 w sahara ave,pinnacle community association management,7024053300,pinnacle community association management,pinnacle community association management,pinnacle community association management,p g association management
Palms Place Unit Owners' Association,0570612006-2,HTL,600.0,(702) 405-3300, Pinnacle Community Association Management,9330 W Sahara Ave Ste 210,Las Vegas,NV,89117,Clark,9330 w sahara ave,pinnacle community association management,7024053300,pinnacle community association management,pinnacle community association management,pinnacle community association management,p g association management
Paradise Cove Homeowners Association,8161-1995,REG,20.0,(702) 405-3300, Pinnacle Community Association Management,9330 W Sahara Ave Ste 210,Las Vegas,NV,89117,Clark,9330 w sahara ave,pinnacle community association management,7024053300,pinnacle community association management,pinnacle community association management,pinnacle community association management,p g association management
Pima Village Owners Association,5345-1991,REG,72.0,(702) 405-3300, Pinnacle Community Association Management,9330 W. Sahara Ave Ste 210,Las Vegas,NV,89117,Clark,9330 w sahara ave,pinnacle community association management,7024053300,pinnacle community association management,pinnacle community association management,pinnacle community association management,p g association management
Pioneer Estates Property Owners' Association,0269322008-3,REG,8.0,(702) 405-3300, Pinnacle Community Association Management,"9330 West Sahara Ave., Suite 210",Las Vegas,NV,89117,Clark,9330 w sahara ave,pinnacle community association management,7024053300,pinnacle community association management,pinnacle community association management,pinnacle community association management,p g association management
Santa Rosa Ii Homeowners Association,25545-2002,REG,41.0,(702) 405-3300, Pinnacle Community Association Management,9330 W Sahara Ave Ste 210,Las Vegas,NV,89117,Clark,9330 w sahara ave,pinnacle community association management,7024053300,pinnacle community association management,pinnacle community association management,pinnacle community association management,p g association management
Shadow Pointe Homeowners Association,0239042015-2,REG,36.0,(702) 405-3300, Pinnacle Community Association Management,9330 W. Sahara Ave Ste 210,Las Vegas,NV,89117,Clark,9330 w sahara ave,pinnacle community association management,7024053300,pinnacle community association management,pinnacle community association management,pinnacle community association management,p g association management
Summercrest Villas Homeowners Association,16480-1996,REG,68.0,(702) 405-3300, Pinnacle Community Association Management,9330 W Sahara Ave Ste 210,Las Vegas,NV,89117,Clark,9330 w sahara ave,pinnacle community association management,7024053300,pinnacle community association management,pinnacle community association management,pinnacle community association management,p g association management
Tremezzo At Lake Las Vegas Homeowners' Association,0154302007-2,SUB,73.0,(702) 405-3300, Pinnacle Community Association Management,9330 W. Sahara Ave Ste 210,Las Vegas,NV,89117,Clark,9330 w sahara ave,pinnacle community association management,7024053300,pinnacle community association management,pinnacle community association management,pinnacle community association management,p g association management
Turnberry Towers East Unit-Owners' Association,0069772007-3,SUB,318.0,(702) 405-3300, Pinnacle Community Association Management,9330 W. Sahara Ave Ste 210,Las Vegas,NV,89117,Clark,9330 w sahara ave,pinnacle community association management,7024053300,pinnacle community association management,pinnacle community association management,pinnacle community association management,p g association management
Villagio Community Association,11529-1997,REG,280.0,(702) 405-3300, Pinnacle Community Association Management,9330 W. Sahara Ave Ste 210,Las Vegas,NV,89117,Clark,9330 w sahara ave,pinnacle community association management,7024053300,pinnacle community association management,pinnacle community association management,pinnacle community association management,p g association management
Villas At Black Mountain Homeowners Association,0642212005-0,REG,50.0,(702) 405-3300, Pinnacle Community Association Management,9330 W. Sahara Ave Ste 210,Las Vegas,NV,89117,Clark,9330 w sahara ave,pinnacle community association management,7024053300,pinnacle community association management,pinnacle community association management,pinnacle community association management,p g association management
Villas At Silverado Homeowners Association,0432712005-6,REG,56.0,(702) 405-3300, Pinnacle Community Association Management,9330 W Sahara Ave Ste 210,Las Vegas,NV,89117,Clark,9330 w sahara ave,pinnacle community association management,7024053300,pinnacle community association management,pinnacle community association management,pinnacle community association management,p g association management
Wellington Place Homeowners Association,0577402005-3,REG,74.0,(702) 405-3300, Pinnacle Community Association Management,9330 W. Sahara Ave Ste 210,Las Vegas,NV,89117,Clark,9330 w sahara ave,pinnacle community association management,7024053300,pinnacle community association management,pinnacle community association management,pinnacle community association management,p g association management
"Wellsprings Estates Homeowners Association, Inc",0015622005-0,REG,12.0,(702) 405-3300, Pinnacle Community Association Management,9330 W. Sahara Ave Ste 210,Las Vegas,NV,89117,Clark,9330 w sahara ave,pinnacle community association management,7024053300,pinnacle community association management,pinnacle community association management,pinnacle community association management,p g association management
Willow Ridge Homeowners Association,0025452016-4,REG,36.0,(702) 405-3300, Pinnacle Community Association Management,9330 W Sahara Ave Ste 210,Las Vegas,NV,89117,Clark,9330 w sahara ave,pinnacle community association management,7024053300,pinnacle community association management,pinnacle community association management,pinnacle community association management,p g association management
Desert Holly Drive Homeowners Association,11125-1989,SUB,42.0,(702) 405-9902, Sun City Summerlin Comm Assoc In,2251 N Rampart Blvd Ste 2528,Las Vegas,NV,89128,Clark,2251 n rampart blvd,sun city summerlin comm assoc in,7024059902,sun city summerlin comm assoc in,sun city summerlin comm assoc in,sun city summerlin comm assoc in,sun city summerlin comm assoc in
Altura Unit Owners Association,0218282015-5,SUB,119.0,(702) 433-0149, Level Property Management,"8966 Spanish Ridge Ave., Ste 100",Las Vegas,NV,89148,Clark,8966 spanish ridge ave,level property management,7024330149,level property management,level property management,level property management,level property management
Angel Court Homeowners Association,4852-1994,REG,40.0,(702) 433-0149, Level Property Management,8966 Spanish Ridge Ave Ste 100,Las Vegas,NV,89148,Clark,8966 spanish ridge ave,level property management,7024330149,level property management,level property management,level property management,level property management
Avada Homeowners Association,32282-2004,REG,57.0,(702) 433-0149, Level Property Management,8966 Spanish Ridge Ave Ste 100,Las Vegas,NV,89148,Clark,8966 spanish ridge ave,level property management,7024330149,level property management,level property management,level property management,level property management
Cambria Maintenance Association,0652702005-1,REG,142.0,(702) 433-0149, Level Property Management,8966 Spanish Ridge Ave Ste 100,Las Vegas,NV,89148,Clark,8966 spanish ridge ave,level property management,7024330149,level property management,level property management,level property management,level property management
Cambridge Homeowners Association,0459892006-8,SUB,275.0,(702) 433-0149, Level Property Management,"8966 Spanish Ridge Ave, Suite 100",Las Vegas,NV,89148,Clark,8966 spanish ridge ave,level property management,7024330149,level property management,level property management,level property management,level property management
Canyon Ridge Homeowners Association,7562-1997,SUB,65.0,(702) 433-0149, Level Property Management,8966 Spanish Ridge Ave Ste 100,Las Vegas,NV,89148,Clark,8966 spanish ridge ave,level property management,7024330149,level property management,level property management,level property management,level property management
Capistrano Homeowners Association,0540902006-1,REG,159.0,(702) 433-0149, Level Property Management,8966 Spanish Ridge Ave Ste 100,Las Vegas,NV,89148,Clark,8966 spanish ridge ave,level property management,7024330149,level property management,level property management,level property management,level property management
Carlisle Homeowners Association,662-2005,SUB,274.0,(702) 433-0149, Level Property Management,8966 Spanish Ridge Ave Ste 100,Las Vegas,NV,89148,Clark,8966 spanish ridge ave,level property management,7024330149,level property management,level property management,level property management,level property management
"Cascade Homeowners Association, Inc.",16383-2003,REG,238.0,(702) 433-0149, Level Property Management,"8966 Spanish Ridge Ave., Unit 100",Las Vegas,NV,89148,Clark,8966 spanish ridge ave,level property management,7024330149,level property management,level property management,level property management,level property management
Catalina Andorra Homeowners Association,0268302013-7,SUB,190.0,(702) 433-0149, Level Property Management,8966 Spanish Ridge Ave Ste 100,Las Vegas,NV,89148,Clark,8966 spanish ridge ave,level property management,7024330149,level property management,level property management,level property management,level property management
Copper Creek Homeowners Association,24957-2003,REG,590.0,(702) 433-0149, Level Property Management,8966 Spanish Ridge Ave Ste 100,Las Vegas,NV,89148,Clark,8966 spanish ridge ave,level property management,7024330149,level property management,level property management,level property management,level property management
Copper Palms Homeowners Association,13747-2004,REG,248.0,(702) 433-0149, Level Property Management,8966 Spanish Ridge Ae Ste 100,Las Vegas,NV,89148,Clark,8966 spanish ridge ae,level property management,7024330149,level property management,level property management,level property management,level property management
Coral Palms Unit-Owners' Association,29887-2004,REG,352.0,(702) 433-0149, Level Property Management,8966 Spanish Ridge Ave Ste 100,Las Vegas,NV,89148,Clark,8966 spanish ridge ave,level property management,7024330149,level property management,level property management,level property management,level property management
Deer Springs Homeowners Association,0360862014-7,REG,89.0,(702) 433-0149, Level Property Management,"8966 Spanish Ridge Ave, Ste 100",Las Vegas,NV,89148,Clark,8966 spanish ridge ave,level property management,7024330149,level property management,level property management,level property management,level property management
Desert Shores Racquet Club Homeowners Association,10227-1989,SUB,195.0,(702) 433-0149, Level Property Management,8966 Spanish Ridge Ave Ste 100,Las Vegas,NV,89148,Clark,8966 spanish ridge ave,level property management,7024330149,level property management,level property management,level property management,level property management
El Sol Del Pueblo Homeowners Association,0094112015-6,REG,192.0,(702) 433-0149, Level Property Management,8966 Spanish Ridge Ave Ste 100,Las Vegas,NV,89148,Clark,8966 spanish ridge ave,level property management,7024330149,level property management,level property management,level property management,level property management
Encanterra Homeowners' Association,0112802015-2,REG,243.0,(702) 433-0149, Level Property Management,8966 Spanish Ridge Ave #100,Las Vegas,NV,89148,Clark,8966 spanish ridge ave 100,level property management,7024330149,level property management,level property management,level property management,level property management
"Flamingo Ridge Homeowners Association, Dba La Mirage Homeowners Association",149-1986,REG,163.0,(702) 433-0149, Level Property Management,8966 Spanish Ridge Ave Ste 100,Las Vegas,NV,89148,Clark,8966 spanish ridge ave,level property management,7024330149,level property management,level property management,level property management,level property management
"Grand Legacy Community Association, The",2567-1990,MSTR,350.0,(702) 433-0149, Level Property Management,8966 Spanish Ridge Ave Ste 100,Las Vegas,NV,89148,Clark,8966 spanish ridge ave,level property management,7024330149,level property management,level property management,level property management,level property management
"Grove Homeowners Association, The",5037-1985,REG,82.0,(702) 433-0149, Level Property Management,8966 Spanish Ridge Ave Ste 100,Las Vegas,NV,89148,Clark,8966 spanish ridge ave,level property management,7024330149,level property management,level property management,level property management,level property management
Harbor Cove Homeowners Association,5928-1989,SUB,121.0,(702) 433-0149, Level Property Management,8966 Spanish Ridge Ave Ste 100,Las Vegas,NV,89148,Clark,8966 spanish ridge ave,level property management,7024330149,level property management,level property management,level property management,level property management
Hunter Springs Drive Homeowners Association,7118-1992,SUB,16.0,(702) 433-0149, Level Property Management,8966 Spanish Ridge Ave Ste 100,Las Vegas,NV,89148,Clark,8966 spanish ridge ave,level property management,7024330149,level property management,level property management,level property management,level property management
Inspiration At Green Valley Ranch Homeowners Association,4113-2002,SUB,312.0,(702) 433-0149, Level Property Management,8966 Spanish Ridge Ave Ste 100,Las Vegas,NV,89148,Clark,8966 spanish ridge ave,level property management,7024330149,level property management,level property management,level property management,level property management
International Townhouse Association,948-1970,SUB,28.0,(702) 433-0149, Level Property Management,8966 Spanish Ridge Ste 100,Las Vegas,NV,89148,Clark,8966 spanish ridge,level property management,7024330149,level property management,level property management,level property management,level property management
International Villas Homeowners Association,0136502011-0,REG,288.0,7024330149, Level Property Management,8966 Spanish Ridge Ave Unit 100,Las Vegas,NV,89148,Clark,8966 spanish ridge ave,level property management,7024330149,level property management,level property management,level property management,level property management
Ironwood Homeowners Association,15822-1996,REG,114.0,(702) 433-0149, Level Property Management,8966 Spanish Ridge Ave Ste 100,Las Vegas,NV,89148,Clark,8966 spanish ridge ave,level property management,7024330149,level property management,level property management,level property management,level property management
Kb Silverado Homeowners Association,1593-1997,REG,182.0,(702) 433-0149, Level Property Management,"8966 Spanish Ridge Ave, Suite 100",Las Vegas,NV,89148,Clark,8966 spanish ridge ave,level property management,7024330149,level property management,level property management,level property management,level property management
Kingston Maintenance Corporation,14023-2002,REG,86.0,(702) 433-0149, Level Property Management,8966 Spanish Ridge Ave Ste 100,Las Vegas,NV,89148,Clark,8966 spanish ridge ave,level property management,7024330149,level property management,level property management,level property management,level property management
"La Cuesta Homeowners Association, Inc",5429-1984,REG,100.0,(702) 433-0149, Level Property Management,8966 Spanish Ridge Ave #100,Las Vegas,NV,89148,Clark,8966 spanish ridge ave 100,level property management,7024330149,level property management,level property management,level property management,level property management
Laguna Bay Homeowners Association Inc,2936-1995,SUB,30.0,(702) 433-0149, Level Property Management,8966 Spanish Ridge Ave Ste 100,Las Vegas,NV,89148,Clark,8966 spanish ridge ave,level property management,7024330149,level property management,level property management,level property management,level property management
Laguna Palms Homeowners Association,26150-2004,REG,268.0,(702) 433-0149, Level Property Management,8966 Spanish Ridge Ave Ste 100,Las Vegas,NV,89148,Clark,8966 spanish ridge ave,level property management,7024330149,level property management,level property management,level property management,level property management
Lake Mead Villas Homeowners Association,7002-1987,REG,312.0,(702) 433-0149, Level Property Management,8966 Spanish Ridge Ave Ste 100,Las Vegas,NV,89148,Clark,8966 spanish ridge ave,level property management,7024330149,level property management,level property management,level property management,level property management
